"p_id","short_text","style","confidence","comments","data","consent","feedback","style_score","confidence_score","label","text_id","mapped_style","round"
"5e69987e0873d600084bc920","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","1","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,1,2,"male","2952363",1,1
"66465157b6bf80457ea8d9fd","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","1","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,1,2,"male","2952363",1,1
"677b8a7c2a2c77756c6e49c8","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,2,2,"male","2952363",1,1
"5bf1c289a34fea0001ddbe06","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","1","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,1,2,"male","2952363",1,1
"675898341fe16ac844f98d26","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","2","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,2,2,"male","2952363",1,1
"5a7db51c2a842c0001fc7657","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.","I am moderately confident because the language is somewhat emotional ""airports for souls"" and of hedging (hopefully), but includes straightforward facts. Also includes inclusive language, which is what makes it lean feminine rather than neutral.","BLOG","I agree",NA,2,2,"male","2952363",1,1
"673c9f4e2c5c7104667e8e46","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,2,2,"male","2952363",1,1
"62d2aee15e1dc6709bdcace0","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","3","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.",NA,"BLOG","I agree",NA,3,2,"male","2952363",3,1
"675dd4aed41b2116f978a0a1","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","3","2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts.",NA,"BLOG","I agree",NA,3,2,"male","2952363",3,1
"5fa8827f5d5c5c73a1308378","I have always thought that hospitals are kind of like airports for souls - where children are born, the elderly depart, and the rest of us make unexpected but hopefully temporary trips. I thought of this analogy when my nephew Bahram was born. As I was sitting in the waiting room with my parents, it suddenly hit me how odd it was that 'five' of us had arrived at the hospital hours earlier but that 'six' of us would leave. One extra physical being coming out of no where into the hospital and our lives....","2","2: Moderately Confident. You felt reasonably sure of your judgment but had some doubts.","I feel according to the guide that this is a sentence written by a woman. That being said, when I am writing creative existential shorts stories, this is exactly how I write and I am a man.","BLOG","I agree",NA,2,2,"male","2952363",1,1
