id,texts,is_attention_check,attention_check_instruction,expected_answer
15793,The crowed cheered as the fireworks began. There was a massive eruption. Several smaller bursts followed. The smoke clears as more eruptions continued. Eventually the fireworks wained.,False,,
16634,"We walked down a scary path. We saw urns stored near a funeral. Inside the columbarium, it was dark. We waited around, hoping for a ghost. We didn't see a ghost, but we did see a startling statue.",False,,
16875,"I was hanging out with friends at the bar. We took a lot of pictures. It a time filled with fun. There was a lot of food to eat. I think, we should have such meet up weekly.",False,,
10321,"Last night, we were trying to decide what to have for dinner, so we looked at some menus. My best friend got distracted and suggested we go to a pet show she'd heard about. My other friend got her back on track, and we talked more about restaurants and menus. I remembered one restaurant we used to go to go to that closed down and we miss. It seemed like we had read a million menus for hours and hours!",False,,
11123,"I went and took pictures of people, places, and things. I tried this neck shot. I also took a picture of a butterfly. My favorite picture is one of a lizard. The last picture was one in a bowling alley.",False,,
34096,"Wow, a carnival and a rodeo! There's nothing like watching a cowpony enjoy a run. This horse has his eye on the target If the cowboy does his toss right, neither he nor the calf gets hurt. Thrills and spills at the rodeo! IT IS A COLOURFUL LIGHTS",False,,
35366,"The cow is ready to go on a adventure. First he climbed onto this statue. Next, he felt rebellious and broke the rules of the no trespassing sign. The adrenaline from the mischievous behavior led him to the cattle barn. After which he finally ended his journey at the State Fair grounds.",False,,
38815,"We had a night of fun. We gathered at an apartment and had some drinks. Some guy was thinking it'd be funny to put his head in a vice. A friend offered a sip of some ails. It was a good time, and we got goofy that night.",False,,
12908,"I took my son to the parade in July. We honored the veterans as they rode through parade. As the fireworks detonated, the floats drove past the dealership. We clapped as the trombones passed with all the musicians. The local school put on a performance. Every year, the snow fall begins around the same time.",False,,
1,This is an attention check.,True,Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',2
2299,"When in the woods, I saw such gigantic spider webs I needed to keep walking! There was this giant spider that was so nasty and plump, and it was sitting on a leaf. Although I was scared, I was still curious as to how a web that big was made from that type of small spider. After examining the web, I walked out of the woods, and started walking towards my route home, where I was waiting for the subway. On the way into the station, I saw this unique art show display, which was a very cool pyramid-like creation.",False,,
154d14665eed2898811501cdd0871165,"I dedicate my life to supporting other people as they create their ideal lives and accomplish their objectives. Clearly I practice what I teach, therefore each new perspective I add to my information base rewards us all. Hence I set myself the job of discovering what the Bible can provide to individuals who genuinely want to locate a life-journey that is content, wealthy and fulfilling.",False,,
155ea7d9a0596fd818706315581a6664,"These things have I written unto u that believe on the name of the Son of God; THAT YOU MAY KNOW THAT YOU HAVE ;ETERNAL LIFE (GOD KIND OF LIFE), and ;that you may believe on the name of ;the Son of God (1John 5:13). ;If u are born again, u now have eternal life (the same life that God has). Your life is different from the life people who;are not born again have. U are a heavenly man/woman.",False,,
1569546eebd99fe13c053ef20765602e,"Each parent aims to bring up a child that's loving, providing, self-confident, happy, and a part of a carefully knit household. Parenting is a organic approach and much more often than not it is not guides, counselors, or medical doctors that may manual you however it is your in born intuition and bonds with the kid.",False,,
