Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67fceac626c30b91c03f06fa,67fa104a20726ea1df369125,RETURNED,Not Applicable,2025-04-14T11:00:32.962000Z,,,2025-04-16T18:06:35.928819Z,,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fceb1b2b0aeb962c3fe2ff,67fca74d1db2eac7da789e1e,APPROVED,Not Applicable,2025-04-14T11:01:47.093000Z,2025-04-14T11:18:55.914000Z,2025-04-14T11:18:56.761000Z,2025-04-14T11:18:56.620789Z,1029.0,C10MGJC3,2,Woman (including Trans Female/Trans Woman),27,Female,Black,United States,United States,United States,English,Yes,Part-Time
67fcec127c42fb61c26a0433,67f62bbff0ebc6cd6a34acc9,APPROVED,Not Applicable,2025-04-14T11:05:54.875000Z,2025-04-14T11:28:43.205000Z,2025-04-14T14:43:07.516000Z,2025-04-14T11:28:44.053159Z,1369.0,NOCODE,4,Man (including Trans Male/Trans Man),63,Male,Black,United States,United States,United States,English,No,Part-Time
67fcef4321c9d214cacb6a98,67f6f2694f0760402a60eaab,APPROVED,Not Applicable,2025-04-14T11:21:21.101000Z,2025-04-14T11:50:21.606000Z,2025-04-14T11:50:22.407000Z,2025-04-14T11:50:22.307660Z,1741.0,C10MGJC3,3,Rather not say,68,Male,White,United States,United States,United States,English,No,Part-Time
67fcf275aacf4bd9818b1af2,67f0262ccea470b7d6d9e395,RETURNED,Not Applicable,2025-04-14T11:33:27.735000Z,,,2025-04-16T18:06:35.932714Z,,,30,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fcf3cdef014e3acf16b20b,67eb00031cf39b51136ddde7,APPROVED,Not Applicable,2025-04-14T11:39:36.196000Z,2025-04-14T12:23:20.273000Z,2025-04-14T12:23:22.373000Z,2025-04-14T12:23:22.242920Z,2625.0,C10MGJC3,4,Man (including Trans Male/Trans Man),55,Female,White,United States,United States,United States,English,Yes,Part-Time
67fcfa6df704b5972fb1cb2d,67d4891a3d6e7210cdd7ddae,RETURNED,Not Applicable,2025-04-14T12:07:09.783000Z,,,2025-04-16T18:06:35.934301Z,,,43,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fcfba0a43aa4ff2535fe40,58f7cdd4c31d4d00015aac83,APPROVED,Not Applicable,2025-04-14T12:12:21.155000Z,2025-04-14T12:41:01.666000Z,2025-04-14T12:41:05.549000Z,2025-04-14T12:41:02.461955Z,1721.0,C10MGJC3,1960,Non-binary (would like to give more detail),27,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
67fcfe3c855524708b73a3a9,6786f4a9f5abb0aa321e6555,APPROVED,Not Applicable,2025-04-14T12:23:24.155000Z,2025-04-14T12:50:03.511000Z,2025-04-14T14:40:48.555000Z,2025-04-14T12:50:04.374134Z,1600.0,C10MGJC3.,320,Woman (including Trans Female/Trans Woman),60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fcff1aa11afc5dabd9058a,6109482350367148ce0aa834,RETURNED,Not Applicable,2025-04-14T12:27:09.944000Z,,,2025-04-16T18:06:35.936652Z,,,7784,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fcff426dad151a360e5d10,65a245b76f17beac9e7e32fe,APPROVED,Not Applicable,2025-04-14T12:27:52.514000Z,2025-04-14T12:50:58.273000Z,2025-04-14T12:51:03.486000Z,2025-04-14T12:51:00.298618Z,1386.0,C10MGJC3,646,Non-binary (would like to give more detail),41,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67fd32719d012d369924100a,67fc660da73f56970e00408e,RETURNED,Not Applicable,2025-04-14T16:06:09.487000Z,2025-04-14T16:11:44.518000Z,,2025-04-16T18:06:52.244923Z,,C10MGJC3,55,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fd67ad739320488477d7b3,678296dc824da764f47a4d2a,APPROVED,Not Applicable,2025-04-14T19:54:24.786000Z,2025-04-14T20:27:24.799000Z,2025-04-14T20:33:57.281000Z,2025-04-14T20:27:26.582227Z,1981.0,C10MGJC3.,439,Woman (including Trans Female/Trans Woman),25,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
67fd29ad57b8e0cefa36bda9,62728884995a1a76605d0214,APPROVED,Not Applicable,2025-04-14T15:28:57.211000Z,2025-04-14T16:21:24.511000Z,2025-04-14T16:21:25.550000Z,2025-04-14T16:21:25.422323Z,3148.0,C1DSW210,3709,Woman (including Trans Female/Trans Woman),46,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67fd2b0188032996f6f55645,67f3f1348c08f742bc5ee080,APPROVED,Not Applicable,2025-04-14T15:34:56.252000Z,2025-04-14T16:35:53.598000Z,2025-04-14T16:35:54.567000Z,2025-04-14T16:36:24.919848Z,3658.0,C1DSW210,3,Man (including Trans Male/Trans Man),32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd3737e23e34796a8c04d4,67cf26277f2372acf15525f7,APPROVED,Not Applicable,2025-04-14T16:27:57.784000Z,2025-04-14T17:13:47.702000Z,2025-04-14T17:13:48.774000Z,2025-04-14T17:13:51.143742Z,2750.0,C1DSW210,137,Woman (including Trans Female/Trans Woman),27,Male,White,United States,United States,United States,English,No,Part-Time
67fd397166ccac3eb95f6d72,6110d5ef0db16ce9a230e7b6,RETURNED,Not Applicable,2025-04-14T16:36:06.929000Z,,,2025-04-16T18:07:16.223630Z,,,1935,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fd397e216f81e05a7e7785,67f7cdde0d88897c98a9fc26,RETURNED,Not Applicable,2025-04-14T16:37:30.585000Z,,,2025-04-16T18:07:16.227969Z,,,43,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fd3a881473b62b6cc13bf6,67f98d0aa55dec75032425e5,APPROVED,Not Applicable,2025-04-14T16:40:51.671000Z,2025-04-14T17:12:56.008000Z,2025-04-14T21:16:03.168000Z,2025-04-14T17:12:59.247565Z,1925.0,NOCODE,21,Man (including Trans Male/Trans Man),26,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd422e9ba116d57599598b,5dc3552003f8562725a1b956,APPROVED,Not Applicable,2025-04-14T17:13:24.058000Z,2025-04-14T18:34:25.962000Z,2025-04-14T18:34:29.331000Z,2025-04-14T18:34:26.915291Z,4862.0,C1DSW210,3757,Non-binary (would like to give more detail),36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd424dd10ea57d22eee02e,61699743bb6d44b1d978e630,APPROVED,Not Applicable,2025-04-14T17:14:34.046000Z,2025-04-14T18:26:57.116000Z,2025-04-14T21:15:59.208000Z,2025-04-14T18:26:58.835065Z,4344.0,NOCODE,1839,Rather not say,27,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
67fd53f6ea041a862c46b7b7,55a9f6a1fdf99b2d81b5295f,APPROVED,Not Applicable,2025-04-14T18:29:10.853000Z,2025-04-14T19:41:16.584000Z,2025-04-14T19:41:17.780000Z,2025-04-14T19:41:17.427432Z,4326.0,C1DSW210,3257,Non-binary (would like to give more detail),31,Female,White,United States,United States,United States,English,Yes,Other
67fd62b5bec63cd23d45b390,67f8405b337f2b8b4cfd1653,APPROVED,Not Applicable,2025-04-14T19:32:05.648000Z,2025-04-14T19:38:59.871000Z,2025-04-14T21:15:55.623000Z,2025-04-14T19:39:00.685102Z,415.0,C1DSW210,29,Man (including Trans Male/Trans Man),34,Male,White,United States,United States,United States,English,No,Full-Time
67fd683e009845e097bf5832,67fc6f0234b9e12086c67a6e,APPROVED,Not Applicable,2025-04-14T19:55:52.471000Z,2025-04-14T20:52:34.962000Z,2025-04-14T20:52:36.235000Z,2025-04-14T20:52:36.119309Z,3403.0,C1DSW210,2,Rather not say,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd6afa754e6f78ebba2f79,67de29bd78596e7172e39fbb,APPROVED,Not Applicable,2025-04-14T20:07:27.865000Z,2025-04-14T20:25:57.578000Z,2025-04-14T20:25:58.751000Z,2025-04-14T20:25:59.515151Z,1110.0,C1DSW210,45,Man (including Trans Male/Trans Man),31,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd32026cb27b007266e4be,67fc6e08e2aed442d70438d3,APPROVED,Not Applicable,2025-04-14T16:04:29.217000Z,2025-04-14T16:25:43.270000Z,2025-04-14T16:25:44.364000Z,2025-04-14T16:25:44.552909Z,1275.0,C1DSW210,10,Man (including Trans Male/Trans Man),65,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd326ba0eb3ed6958a49c1,5d1653de3935ca001b87ff71,RETURNED,Not Applicable,2025-04-14T16:06:03.238000Z,,,2025-04-16T18:07:25.797422Z,,,4094,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fd3408f9a444d66f8c6a7d,67f983df028afabb128a02d6,APPROVED,Not Applicable,2025-04-14T16:13:12.403000Z,2025-04-14T17:27:08.337000Z,2025-04-14T17:27:09.499000Z,2025-04-14T17:27:09.348673Z,4436.0,C1DSW210,24,Man (including Trans Male/Trans Man),31,Female,Black,United States,United States,United States,English,No,Part-Time
67fd37eb347d9373cc050d20,67e174c65010100703da9b84,APPROVED,Not Applicable,2025-04-14T16:30:59.297000Z,2025-04-14T16:56:25.931000Z,2025-04-14T16:56:28.848000Z,2025-04-14T16:56:40.826405Z,1527.0,C1DSW210,117,Woman (including Trans Female/Trans Woman),26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd8c6ac3274e9db5491a36,675cc0635f0daaf890e30091,APPROVED,Not Applicable,2025-04-14T22:30:07.860000Z,2025-04-14T23:01:34.604000Z,2025-04-14T23:01:59.220000Z,2025-04-14T23:01:35.350015Z,1887.0,C1DSW210,246,Man (including Trans Male/Trans Man),46,Male,White,United States,United States,United States,English,No,Full-Time
67fd95ba896303f2098bcc70,67f89dcb3065174eabea4d87,APPROVED,Not Applicable,2025-04-14T23:09:56.711000Z,2025-04-15T00:03:13.123000Z,2025-04-15T00:03:47.323000Z,2025-04-15T00:04:37.098308Z,3197.0,C1DSW210,23,Woman (including Trans Female/Trans Woman),37,Female,Black,United States,United States,United States,English,No,Full-Time
67fda436a6706f702a849915,67ad3984d5a39318530f4102,APPROVED,Not Applicable,2025-04-15T00:11:34.559000Z,2025-04-15T00:44:20.558000Z,2025-04-15T00:44:21.528000Z,2025-04-15T00:44:21.420519Z,1966.0,C1DSW210,397,Woman (including Trans Female/Trans Woman),53,Male,Black,United States,United States,United States,English,No,Part-Time
67fdaf57535a109e49bb05ed,67f2a88a874ffbefd55213cf,APPROVED,Not Applicable,2025-04-15T00:59:32.207000Z,2025-04-15T01:38:07.643000Z,2025-04-15T01:38:08.748000Z,2025-04-15T01:38:08.637930Z,2316.0,C1DSW210,60,Man (including Trans Male/Trans Man),54,Female,White,United States,United States,United States,English,No,Full-Time
67fe5d4dd17949b5f0af6cb4,5c37aa8b832a8400010983b3,RETURNED,Not Applicable,2025-04-15T13:21:46.710000Z,,,2025-04-16T18:07:37.745456Z,,,5863,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe69d99fa6ee1df7d0e40c,6653630d3d737225802ccfad,APPROVED,Not Applicable,2025-04-15T14:14:56.286000Z,2025-04-15T14:53:40.110000Z,2025-04-15T14:53:43.171000Z,2025-04-15T14:54:07.214999Z,2324.0,C1DSW210,1407,Non-binary (would like to give more detail),29,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
67fd88f92528f8e7a5a7a05c,67f8c20cf61a8acffde010a7,APPROVED,Not Applicable,2025-04-14T22:15:43.684000Z,2025-04-14T22:28:19.546000Z,2025-04-15T16:49:45.142000Z,2025-04-14T22:28:20.211577Z,756.0,C1DSW210,32,Man (including Trans Male/Trans Man),30,Male,Black,United States,United States,United States,English,Yes,Part-Time
67fd8df84dd59be9c3d4a47a,67f4d8c919037513ec751c18,APPROVED,Not Applicable,2025-04-14T22:36:40.515000Z,2025-04-14T22:53:28.947000Z,2025-04-14T22:53:29.791000Z,2025-04-14T22:53:29.691370Z,1009.0,C1DSW210,55,Man (including Trans Male/Trans Man),30,Female,Black,United States,United States,United States,English,Yes,Part-Time
