Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67fceac626c30b91c03f06fa,67fa104a20726ea1df369125,RETURNED,Not Applicable,2025-04-14T11:00:32.962000Z,,,2025-04-16T18:06:35.928819Z,,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fceb1b2b0aeb962c3fe2ff,67fca74d1db2eac7da789e1e,APPROVED,Not Applicable,2025-04-14T11:01:47.093000Z,2025-04-14T11:18:55.914000Z,2025-04-14T11:18:56.761000Z,2025-04-14T11:18:56.620789Z,1029.0,C10MGJC3,2,Woman (including Trans Female/Trans Woman),27,Female,Black,United States,United States,United States,English,Yes,Part-Time
67fcec127c42fb61c26a0433,67f62bbff0ebc6cd6a34acc9,APPROVED,Not Applicable,2025-04-14T11:05:54.875000Z,2025-04-14T11:28:43.205000Z,2025-04-14T14:43:07.516000Z,2025-04-14T11:28:44.053159Z,1369.0,NOCODE,4,Man (including Trans Male/Trans Man),63,Male,Black,United States,United States,United States,English,No,Part-Time
67fcef4321c9d214cacb6a98,67f6f2694f0760402a60eaab,APPROVED,Not Applicable,2025-04-14T11:21:21.101000Z,2025-04-14T11:50:21.606000Z,2025-04-14T11:50:22.407000Z,2025-04-14T11:50:22.307660Z,1741.0,C10MGJC3,3,Rather not say,68,Male,White,United States,United States,United States,English,No,Part-Time
67fcf275aacf4bd9818b1af2,67f0262ccea470b7d6d9e395,RETURNED,Not Applicable,2025-04-14T11:33:27.735000Z,,,2025-04-16T18:06:35.932714Z,,,30,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fcf3cdef014e3acf16b20b,67eb00031cf39b51136ddde7,APPROVED,Not Applicable,2025-04-14T11:39:36.196000Z,2025-04-14T12:23:20.273000Z,2025-04-14T12:23:22.373000Z,2025-04-14T12:23:22.242920Z,2625.0,C10MGJC3,4,Man (including Trans Male/Trans Man),55,Female,White,United States,United States,United States,English,Yes,Part-Time
67fcfa6df704b5972fb1cb2d,67d4891a3d6e7210cdd7ddae,RETURNED,Not Applicable,2025-04-14T12:07:09.783000Z,,,2025-04-16T18:06:35.934301Z,,,43,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fcfba0a43aa4ff2535fe40,58f7cdd4c31d4d00015aac83,APPROVED,Not Applicable,2025-04-14T12:12:21.155000Z,2025-04-14T12:41:01.666000Z,2025-04-14T12:41:05.549000Z,2025-04-14T12:41:02.461955Z,1721.0,C10MGJC3,1960,Non-binary (would like to give more detail),27,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
67fcfe3c855524708b73a3a9,6786f4a9f5abb0aa321e6555,APPROVED,Not Applicable,2025-04-14T12:23:24.155000Z,2025-04-14T12:50:03.511000Z,2025-04-14T14:40:48.555000Z,2025-04-14T12:50:04.374134Z,1600.0,C10MGJC3.,320,Woman (including Trans Female/Trans Woman),60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fcff1aa11afc5dabd9058a,6109482350367148ce0aa834,RETURNED,Not Applicable,2025-04-14T12:27:09.944000Z,,,2025-04-16T18:06:35.936652Z,,,7784,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fcff426dad151a360e5d10,65a245b76f17beac9e7e32fe,APPROVED,Not Applicable,2025-04-14T12:27:52.514000Z,2025-04-14T12:50:58.273000Z,2025-04-14T12:51:03.486000Z,2025-04-14T12:51:00.298618Z,1386.0,C10MGJC3,646,Non-binary (would like to give more detail),41,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
