Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67fd29ad57b8e0cefa36bda9,62728884995a1a76605d0214,APPROVED,Not Applicable,2025-04-14T15:28:57.211000Z,2025-04-14T16:21:24.511000Z,2025-04-14T16:21:25.550000Z,2025-04-14T16:21:25.422323Z,3148.0,C1DSW210,3709,Woman (including Trans Female/Trans Woman),46,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67fd2b0188032996f6f55645,67f3f1348c08f742bc5ee080,APPROVED,Not Applicable,2025-04-14T15:34:56.252000Z,2025-04-14T16:35:53.598000Z,2025-04-14T16:35:54.567000Z,2025-04-14T16:36:24.919848Z,3658.0,C1DSW210,3,Man (including Trans Male/Trans Man),32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd3737e23e34796a8c04d4,67cf26277f2372acf15525f7,APPROVED,Not Applicable,2025-04-14T16:27:57.784000Z,2025-04-14T17:13:47.702000Z,2025-04-14T17:13:48.774000Z,2025-04-14T17:13:51.143742Z,2750.0,C1DSW210,137,Woman (including Trans Female/Trans Woman),27,Male,White,United States,United States,United States,English,No,Part-Time
67fd397166ccac3eb95f6d72,6110d5ef0db16ce9a230e7b6,RETURNED,Not Applicable,2025-04-14T16:36:06.929000Z,,,2025-04-16T18:07:16.223630Z,,,1935,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fd397e216f81e05a7e7785,67f7cdde0d88897c98a9fc26,RETURNED,Not Applicable,2025-04-14T16:37:30.585000Z,,,2025-04-16T18:07:16.227969Z,,,43,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fd3a881473b62b6cc13bf6,67f98d0aa55dec75032425e5,APPROVED,Not Applicable,2025-04-14T16:40:51.671000Z,2025-04-14T17:12:56.008000Z,2025-04-14T21:16:03.168000Z,2025-04-14T17:12:59.247565Z,1925.0,NOCODE,21,Man (including Trans Male/Trans Man),26,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd422e9ba116d57599598b,5dc3552003f8562725a1b956,APPROVED,Not Applicable,2025-04-14T17:13:24.058000Z,2025-04-14T18:34:25.962000Z,2025-04-14T18:34:29.331000Z,2025-04-14T18:34:26.915291Z,4862.0,C1DSW210,3757,Non-binary (would like to give more detail),36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd424dd10ea57d22eee02e,61699743bb6d44b1d978e630,APPROVED,Not Applicable,2025-04-14T17:14:34.046000Z,2025-04-14T18:26:57.116000Z,2025-04-14T21:15:59.208000Z,2025-04-14T18:26:58.835065Z,4344.0,NOCODE,1839,Rather not say,27,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
67fd53f6ea041a862c46b7b7,55a9f6a1fdf99b2d81b5295f,APPROVED,Not Applicable,2025-04-14T18:29:10.853000Z,2025-04-14T19:41:16.584000Z,2025-04-14T19:41:17.780000Z,2025-04-14T19:41:17.427432Z,4326.0,C1DSW210,3257,Non-binary (would like to give more detail),31,Female,White,United States,United States,United States,English,Yes,Other
67fd62b5bec63cd23d45b390,67f8405b337f2b8b4cfd1653,APPROVED,Not Applicable,2025-04-14T19:32:05.648000Z,2025-04-14T19:38:59.871000Z,2025-04-14T21:15:55.623000Z,2025-04-14T19:39:00.685102Z,415.0,C1DSW210,29,Man (including Trans Male/Trans Man),34,Male,White,United States,United States,United States,English,No,Full-Time
67fd683e009845e097bf5832,67fc6f0234b9e12086c67a6e,APPROVED,Not Applicable,2025-04-14T19:55:52.471000Z,2025-04-14T20:52:34.962000Z,2025-04-14T20:52:36.235000Z,2025-04-14T20:52:36.119309Z,3403.0,C1DSW210,2,Rather not say,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fd6afa754e6f78ebba2f79,67de29bd78596e7172e39fbb,APPROVED,Not Applicable,2025-04-14T20:07:27.865000Z,2025-04-14T20:25:57.578000Z,2025-04-14T20:25:58.751000Z,2025-04-14T20:25:59.515151Z,1110.0,C1DSW210,45,Man (including Trans Male/Trans Man),31,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
