Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67881d2bb6e71ceb4e9504cc,5e69987e0873d600084bc920,APPROVED,Not Applicable,2025-01-15T20:40:24.588000Z,2025-01-15T20:46:58.405000Z,2025-01-27T12:33:42.180000Z,2025-01-15T20:46:59.220937Z,394.0,C10MGJC3,3725,31,Female,White,United States,United States,United States,English,No,Full-Time
67881d6347659901afc791e6,66465157b6bf80457ea8d9fd,APPROVED,Not Applicable,2025-01-15T20:41:13.089000Z,2025-01-15T20:53:33.504000Z,2025-01-27T12:33:42.482000Z,2025-01-15T20:53:36.520543Z,741.0,C10MGJC3,321,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67881d7f7cffd246afa8b742,6104332d73da970d3d795929,RETURNED,Not Applicable,2025-01-15T20:52:00.078000Z,,,2025-01-16T21:40:28.614098Z,,,184,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67881d8674e8b270619d8759,675dd4aed41b2116f978a0a1,APPROVED,Not Applicable,2025-01-15T20:42:07.907000Z,2025-01-15T21:29:22.269000Z,2025-01-15T21:29:22.988000Z,2025-01-15T21:29:22.879289Z,2835.0,C10MGJC3,30,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67881d8a5810c5c2c8c3a4b0,677b8a7c2a2c77756c6e49c8,APPROVED,Not Applicable,2025-01-15T20:41:55.542000Z,2025-01-15T20:54:49.979000Z,2025-01-27T12:33:41.782000Z,2025-01-15T20:54:50.752806Z,775.0,C10MGJC3,1,38,Male,Asian,Philippines,United States,Philippines,English,No,DATA_EXPIRED
67881d92d22b8480d7fcfdbc,673c9f4e2c5c7104667e8e46,APPROVED,Not Applicable,2025-01-15T20:42:03.089000Z,2025-01-15T21:11:37.833000Z,2025-01-15T21:11:38.883000Z,2025-01-15T21:11:38.801021Z,1775.0,C10MGJC3,24,28,Male,Black,Ghana,United States,United States,English,DATA_EXPIRED,Full-Time
67881d99e14cde87368e1b79,5bf1c289a34fea0001ddbe06,APPROVED,Not Applicable,2025-01-15T20:42:07.485000Z,2025-01-15T20:57:55.242000Z,2025-01-15T20:57:57.890000Z,2025-01-15T20:57:55.801975Z,948.0,C10MGJC3,1178,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67881d9e093a956bba6f9765,675898341fe16ac844f98d26,APPROVED,Not Applicable,2025-01-15T20:43:21.242000Z,2025-01-15T21:02:16.269000Z,2025-01-15T21:02:16.966000Z,2025-01-15T21:02:16.853373Z,1136.0,C10MGJC3,8,41,Female,White,United States,United States,United States,English,Yes,Full-Time
67881dae6cb0bba7b526a815,5fa8827f5d5c5c73a1308378,APPROVED,Not Applicable,2025-01-15T20:42:33.681000Z,2025-01-15T21:47:27.580000Z,2025-01-15T21:47:30.597000Z,2025-01-15T21:47:30.511168Z,3894.0,C10MGJC3,284,33,Male,White,United States,United States,United States,English,No,Full-Time
67881dcb7c1821779c2ddc97,5a7db51c2a842c0001fc7657,APPROVED,Not Applicable,2025-01-15T20:42:55.502000Z,2025-01-15T21:10:52.641000Z,2025-01-15T21:10:53.546000Z,2025-01-15T21:10:53.484319Z,1678.0,C10MGJC3,1873,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67881ffeb386202326a3eedd,62d2aee15e1dc6709bdcace0,APPROVED,Not Applicable,2025-01-15T20:54:11.829000Z,2025-01-15T21:12:06.816000Z,2025-01-15T21:13:11.773000Z,2025-01-15T21:12:10.573781Z,1075.0,C10MGJC3,1816,56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
