Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67a71a099e7a9798ea51b2f3,672587752398278f1116016d,APPROVED,Not Applicable,2025-02-08T08:47:30.033000Z,2025-02-08T09:27:54.754000Z,2025-02-08T09:27:57.808000Z,2025-02-08T09:27:55.851091Z,2425.0,C1DSW210,146,37,Female,White,United States,United States,United States,English,No,Other
67a71cce81591b6f7b91b3c4,5fb96b9798cd084465b0bf36,APPROVED,Not Applicable,2025-02-08T08:58:53.994000Z,2025-02-08T09:20:53.852000Z,2025-02-08T09:20:57.632000Z,2025-02-08T09:20:54.617357Z,1320.0,C1DSW210,3102,55,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
67a71d2ae135d17d8a22adbf,62a0294e78bac60d6f9c49df,APPROVED,Not Applicable,2025-02-08T09:00:34.822000Z,2025-02-08T09:18:45.812000Z,2025-02-08T09:18:46.716000Z,2025-02-08T09:18:46.600555Z,1091.0,C1DSW210,2315,68,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67a71d58ad07c417ae41d458,678cab02ebdcdce48f8abd43,RETURNED,Not Applicable,2025-02-08T09:01:21.448000Z,,,2025-02-08T23:42:18.404181Z,,,41,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67a71fa9dabb8ae724933034,66f3af39161ce99b4ec75a71,APPROVED,Not Applicable,2025-02-08T09:11:13.404000Z,2025-02-08T10:03:02.666000Z,2025-02-08T10:03:05.868000Z,2025-02-08T10:03:03.594737Z,3110.0,C1DSW210,631,30,Male,White,United States,United States,United States,English,Yes,Full-Time
67a71fc472ca7bc6fd611448,66f3fed9e931683984276fee,APPROVED,Not Applicable,2025-02-08T09:11:44.273000Z,2025-02-08T10:39:31.283000Z,2025-02-08T10:39:34.213000Z,2025-02-08T10:39:33.317144Z,5268.0,C1DSW210,613,53,Male,White,United States,United States,United States,English,No,Full-Time
67a7220c40c4f782d031786e,672257189f5d5ac3fca9ed06,TIMED-OUT,Not Applicable,2025-02-08T09:21:16.878000Z,,,2025-02-08T23:42:19.976506Z,51664.0,,120,33,Female,Black,United States,United States,United States,English,No,Full-Time
67a7223bd117126adcaeb14a,676977c50260dd18cb905926,TIMED-OUT,Not Applicable,2025-02-08T09:22:03.649000Z,,,2025-02-08T23:42:18.508736Z,51615.0,,28,28,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
67a7248286045e61bd93307d,6729fdee248a7510b80f8a6d,TIMED-OUT,Not Applicable,2025-02-08T09:31:46.161000Z,,,2025-02-08T23:42:18.439620Z,51033.0,,93,36,Female,Black,United States,United States,United States,English,No,Full-Time
67a72f4854b0df78b4422f4c,65654bb65a81489784483bf0,APPROVED,Not Applicable,2025-02-08T10:23:43.188000Z,2025-02-08T10:56:52.548000Z,2025-02-08T10:56:57.085000Z,2025-02-08T10:56:54.115316Z,1990.0,C1DSW210,821,33,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67a73993d95f7282d1b888f1,670d7c93f7e013eca9fb60e1,APPROVED,Not Applicable,2025-02-08T11:01:57.279000Z,2025-02-08T11:39:22.478000Z,2025-02-08T11:39:27.338000Z,2025-02-08T11:39:25.566416Z,2246.0,C1DSW210,427,43,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
67a73ab3b2b8f50ade2283f2,6760b8f41a7653abb3f07e1c,APPROVED,Not Applicable,2025-02-08T11:06:42.797000Z,2025-02-08T11:27:36.408000Z,2025-02-08T11:27:39.662000Z,2025-02-08T11:27:37.337824Z,1254.0,C1DSW210,153,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67a73d4259754ffd2dad84af,67756617dedb956233460ccd,APPROVED,Not Applicable,2025-02-08T11:20:37.844000Z,2025-02-08T12:12:07.045000Z,2025-02-08T12:12:09.078000Z,2025-02-08T12:12:08.622646Z,3090.0,C1DSW210,158,62,Female,Black,United States,United States,United States,English,No,Full-Time
67a7cf9b67dba149c2547b5a,67a512649c0c090e741461df,APPROVED,Not Applicable,2025-02-08T21:41:53.255000Z,2025-02-08T22:05:10.410000Z,2025-02-08T22:05:12.800000Z,2025-02-08T22:05:11.889543Z,1398.0,C1DSW210,8,46,Male,White,United States,United States,United States,English,No,Part-Time
67a71d7c9e7a9798ea51b378,67a6dd57cadaa10c63c8436e,RETURNED,Not Applicable,2025-02-08T09:02:07.270000Z,2025-02-08T09:06:55.833000Z,2025-02-09T00:12:15.878000Z,2025-02-08T23:42:18.415000Z,,NOCODE,9,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
