Submission id,Age,Archived at,Completed at,Completion code,Country of birth,Country of residence,Custom study tncs accepted at,Employment status,Ethnicity simplified,Gender,Language,Nationality,Participant id,Reviewed at,Sex,Started at,Status,Student status,Time taken,Total approvals,URL
67ab208fe8cab7d6fb2a3056,25,2025-02-11T11:08:00.669380Z,2025-02-11T11:07:58.050000Z,NOCODE,United States,United States,Not Applicable,DATA_EXPIRED,White,Woman (including Trans Female/Trans Woman),English,United States,67a7a15e59754ffd2dad9350,2025-02-11T18:02:59.396000Z,Female,2025-02-11T10:04:05.783000Z,APPROVED,DATA_EXPIRED,3833.0,3,https://gender-writing-style2.streamlit.app/
67ab221a28dd6def914c300a,27,2025-02-11T11:13:44.742144Z,2025-02-11T11:13:43.280000Z,NOCODE,United States,United States,Not Applicable,Unemployed (and job seeking),White,Man (including Trans Male/Trans Man),English,United States,5d847ac9be4b0b00188463d7,2025-02-11T18:02:59.916000Z,Male,2025-02-11T10:10:34.581000Z,APPROVED,No,3789.0,5241,https://gender-writing-style2.streamlit.app/
67ab25d79ab9e7337feaec54,26,,,,United States,United States,Not Applicable,DATA_EXPIRED,White,Man (including Trans Male/Trans Man),English,United States,5ccc60abe787e000167f8143,,Male,2025-02-11T10:26:40.708000Z,TIMED-OUT,DATA_EXPIRED,70645.0,2596,
67ab286ff928b65bc1d22886,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5e56457f6370ba0184e041b4,,CONSENT_REVOKED,2025-02-11T10:37:35.143000Z,RETURNED,CONSENT_REVOKED,,4132,
67ab2bad665069084f829941,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,668c821b1bbf383ee00a01ed,,CONSENT_REVOKED,2025-02-11T10:52:06.185000Z,RETURNED,CONSENT_REVOKED,,719,
67ab331ffd592e83a077b6b1,CONSENT_REVOKED,2025-02-11T11:42:22.297000Z,2025-02-11T11:42:21.532000Z,NOCODE,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,677853a510ec19bf89b5b32d,,CONSENT_REVOKED,2025-02-11T11:23:18.765000Z,RETURNED,CONSENT_REVOKED,,116,
67ab34f40644fb2d51ca72d1,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,5cc8a32f7639bd0001ccce85,,CONSENT_REVOKED,2025-02-11T11:31:06.900000Z,RETURNED,CONSENT_REVOKED,,304,
67ab37a5d41a19246b5e9a08,26,2025-02-11T12:25:52.192172Z,2025-02-11T12:25:51.077000Z,C1N19CUR,United States,United States,Not Applicable,Part-Time,White,Woman (including Trans Female/Trans Woman),English,United States,6725f5c628ac0ee83bb0aae2,2025-02-11T12:25:53.632000Z,Female,2025-02-11T11:43:13.078000Z,APPROVED,No,2558.0,231,https://gender-writing-style3.streamlit.app/
67ab3d380c7ec3381c537b7a,27,2025-02-11T13:09:48.371480Z,2025-02-11T13:09:47.132000Z,C1N19CUR,United States,United States,Not Applicable,Part-Time,White,Woman (including Trans Female/Trans Woman),English,United States,67534e2faec40ce374ebcc8f,2025-02-11T13:10:21.165000Z,Female,2025-02-11T12:06:34.555000Z,APPROVED,No,3793.0,92,https://gender-writing-style.streamlit.app/
67ab3da7a2f4a106745769dd,25,2025-02-11T12:34:16.858316Z,2025-02-11T12:34:16.055000Z,NOCODE,Nigeria,United States,Not Applicable,Part-Time,Black,Woman (including Trans Female/Trans Woman),English,Nigeria,671bb2f9e9ccea553e25ac77,2025-02-11T18:03:00.608000Z,Female,2025-02-11T12:09:53.996000Z,APPROVED,Yes,1463.0,119,https://gender-writing-style2.streamlit.app/
67ab3dbaef0bee890ca54f7e,26,,,,United States,United States,Not Applicable,Full-Time,White,Woman (including Trans Female/Trans Woman),English,United States,67266c0ecff4ab3acc3b5a54,,Female,2025-02-11T12:08:39.984000Z,TIMED-OUT,DATA_EXPIRED,64526.0,498,
67ab54c9fc278f81502b1986,25,2025-02-11T15:06:28.626750Z,2025-02-11T15:05:32.459000Z,C1N19CUR,United States,United States,Not Applicable,DATA_EXPIRED,Black,Man (including Trans Male/Trans Man),English,United States,669a878ad1cad8cabb0ea7dd,2025-02-11T15:06:27.864000Z,Male,2025-02-11T13:49:03.030000Z,APPROVED,DATA_EXPIRED,4590.0,841,https://gender-writing-style3.streamlit.app/
