p_id,style_score,confidence_score,text_id,Time taken,Age,Sex,Ethnicity simplified,Country of birth,Employment status,Gender,round,data,label,Age_group,annotation_id,ethnicity,batch,minutes,gender_factor,new_style_score,new_confidence_score,style_comp,confidence_comp
66465157b6bf80457ea8d9fd,3,2,10232_0,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,male,36-45,1,White,1,12,Woman,3.0,2.0,True,True
5a7db51c2a842c0001fc7657,1,4,10232_0,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,2,3,10232_0,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PASTEL,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,4,2,11375_0,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,female,36-45,1,White,1,12,Woman,4.0,2.0,True,True
5a7db51c2a842c0001fc7657,5,4,11375_0,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,female,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,2,2,11375_0,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PASTEL,female,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,5,2,118cd7ba4aa86765c7a972460d68f8ee,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,36-45,1,White,1,12,Woman,3.0,2.0,False,True
5a7db51c2a842c0001fc7657,3,1,118cd7ba4aa86765c7a972460d68f8ee,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,5,3,118cd7ba4aa86765c7a972460d68f8ee,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,5,2,1199fc3d1c59ac7839a415eb81ec1acc,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,36-45,1,White,1,12,Woman,4.0,3.0,False,False
5a7db51c2a842c0001fc7657,3,2,1199fc3d1c59ac7839a415eb81ec1acc,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,5,4,1199fc3d1c59ac7839a415eb81ec1acc,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,4,2,11c462d2e7f55b4f4b6c8103f9f24d7d,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,36-45,1,White,1,12,Woman,5.0,3.0,False,False
5a7db51c2a842c0001fc7657,4,2,11c462d2e7f55b4f4b6c8103f9f24d7d,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,3,3,11c462d2e7f55b4f4b6c8103f9f24d7d,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,4,2,11c4fec9b34d206e376b9fd8e9bb121a,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,36-45,1,White,1,12,Woman,4.0,3.0,True,False
5a7db51c2a842c0001fc7657,2,2,11c4fec9b34d206e376b9fd8e9bb121a,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,2,2,11c4fec9b34d206e376b9fd8e9bb121a,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,female,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,2,2,11da79569dfd041bade6070ad4865ad2,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,36-45,1,White,1,12,Woman,3.0,3.0,False,False
5a7db51c2a842c0001fc7657,3,2,11da79569dfd041bade6070ad4865ad2,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,3,2,11da79569dfd041bade6070ad4865ad2,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,4,2,12361_0,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,male,36-45,1,White,1,12,Woman,3.0,2.0,False,True
5a7db51c2a842c0001fc7657,2,2,12361_0,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,1,3,12361_0,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PASTEL,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,5,2,12484_2,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,female,36-45,1,White,1,12,Woman,5.0,3.0,True,False
5a7db51c2a842c0001fc7657,5,4,12484_2,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,female,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,4,2,12484_2,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PASTEL,female,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,2,2,1337af33de5794ad718a296e430d2483,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,36-45,1,White,1,12,Woman,3.0,3.0,False,False
5a7db51c2a842c0001fc7657,4,2,1337af33de5794ad718a296e430d2483,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,3,1,1337af33de5794ad718a296e430d2483,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,female,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,1,4,133ca9ba89e2ab2f2b8e3d7aa53ec562,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,36-45,1,White,1,12,Woman,2.0,3.0,False,False
5a7db51c2a842c0001fc7657,2,2,133ca9ba89e2ab2f2b8e3d7aa53ec562,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,1,3,133ca9ba89e2ab2f2b8e3d7aa53ec562,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,female,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,3,2,1379753132cda00189d9ca564441367e,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,36-45,1,White,1,12,Woman,1.0,3.0,False,False
5a7db51c2a842c0001fc7657,2,1,1379753132cda00189d9ca564441367e,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,3,1,1379753132cda00189d9ca564441367e,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,4,2,1393b057204b3fd57bb2b5722dc40e13,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,36-45,1,White,1,12,Woman,4.0,3.0,True,False
5a7db51c2a842c0001fc7657,2,1,1393b057204b3fd57bb2b5722dc40e13,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,male,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,4,2,1393b057204b3fd57bb2b5722dc40e13,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,male,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,4,2,15171ba00bc775e7d87891691117ee6c,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,36-45,1,White,1,12,Woman,2.0,3.0,False,False
5a7db51c2a842c0001fc7657,4,1,15171ba00bc775e7d87891691117ee6c,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PAN13-EN,female,26-35,2,White,1,28,Woman,,,False,False
58f7cdd4c31d4d00015aac83,2,2,15171ba00bc775e7d87891691117ee6c,1721,27,Male,Asian,United States,Unemployed (and job seeking),Non-binary,1,PAN13-EN,female,26-35,4,Other,1,29,Non-binary,,,False,False
66465157b6bf80457ea8d9fd,1,2,17427_0,741,44,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,female,36-45,1,White,1,12,Woman,1.0,3.0,True,False
5a7db51c2a842c0001fc7657,1,4,17427_0,1678,26,Female,White,United States,DATA_EXPIRED,Woman,1,PASTEL,female,26-35,2,White,1,28,Woman,,,False,False
