p_id,round,agr,note
68478bceda532e24d18a322b,9,,nan
67ace9b8a3dada8f64274fd7,9,yes,nan
67ad8db455c99b14bcca9a26,9,,nan
682e1dfae06b67a1f4ce070e,9,,nan
6840e0c53c5973f71512e724,9,,nan
6554ea27378d1f1b846788b3,9,yes,re-annotated twice
67297f70d21c6b7122a7b4d8,10,,nan
6844ec5c3f032b8836dc5afb,10,,nan
5f46cd85e858dd0a24269315,10,,nan
65d58a52bf45343f7055b0e3,10,,nan
66e367ac9940dc1f0027eff1,10,,nan
67871b7310fcb596ca70075d,10,,nan
68325a01e0770b3870ea26b3,11,,nan
682e2a3e8a44f3f4e2aac127,11,,nan
655fd05c12d38751dfa91559,11,,nan
68406af7706e13b75e68962e,11,,nan
683ca599021675cdcae2a561,11,,nan
5753046ba6deb50006d64b0f,11,yes,nan
6733e5e2a104a80184bf6358,11,yes,nan
684a3771c56bb750e8fe13d8,12,,nan
5d2df867d7cc160019673031,12,yes,nan
67e7b44b708fcee3c458d4cf,12,,nan
6548f960db60a00d76e92695,12,,nan
6843d1689d61b53eeae097b1,12,,nan
67799d763d5bf5489ac2b034,12,,nan
66eddcfe67e927db6f0a4768,12,yes,nan
5e8caf1b063693041f6ac524,12,yes,nan
67ad3b723dcec072cfdf7815,13,yes,nan
683f4c4a95e6ac73e9eff935,13,,nan
67042439a81ac83981a36a73,13,,nan
614ebfa6eff131515482a146,13,yes,nan
6841eaf1a77941aa86041c54,13,,nan
683b76dbdec83b1c5a663d27,13,,nan
5c43517c8fefb60001c447fe,13,,nan
