Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
679c6777a4577f001dc3fb33,657b0ede27d064a99e80f7f2,AWAITING REVIEW,Not Applicable,2025-01-31T06:03:28.604000Z,2025-01-31T06:13:45.936000Z,,2025-01-31T06:13:46.667689Z,618.0,C1DSW210,588,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
679c6c19f43a671b9ec4d5d1,6721e0cdee986d2d536f5725,APPROVED,Not Applicable,2025-01-31T06:22:57.308000Z,2025-01-31T06:58:58.320000Z,2025-01-31T06:58:59.335000Z,2025-01-31T06:58:59.195593Z,2162.0,C1DSW210,211,46,Female,Mixed,United States,United States,United States,English,No,Full-Time
679c6d11b034864fb42b3a10,671bc85e08b760e4e0a6bbb1,AWAITING REVIEW,Not Applicable,2025-01-31T06:26:32.214000Z,2025-01-31T06:40:41.370000Z,,2025-01-31T06:40:42.158110Z,850.0,C1DSW210,93,31,Male,White,United States,United States,United States,English,No,Part-Time
679c6da83c43e3ab28a07fb1,5f4eb642ce413e0ecc88e227,APPROVED,Not Applicable,2025-01-31T06:29:07.254000Z,2025-01-31T06:46:45.393000Z,2025-01-31T06:46:46.671000Z,2025-01-31T06:46:46.572491Z,1059.0,C1DSW210,1054,34,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
679c718c92640ce3fb0c66f6,614eb0a92921d8c1e64f4873,APPROVED,Not Applicable,2025-01-31T06:49:58.946000Z,2025-01-31T07:31:50.330000Z,2025-01-31T07:31:53.222000Z,2025-01-31T07:31:51.156808Z,2512.0,C1DSW210,2968,54,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
679c7190dc769b2cc8c4e619,65dca50f147f751d0235caeb,APPROVED,Not Applicable,2025-01-31T06:49:36.273000Z,2025-01-31T07:41:29.223000Z,2025-01-31T07:41:30.089000Z,2025-01-31T07:41:29.975394Z,3113.0,C1DSW210,35,25,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
679c71c56b9e1dabfe0a3358,5ed716888a042d1a311fd97a,APPROVED,Not Applicable,2025-01-31T06:46:49.512000Z,2025-01-31T07:04:32.389000Z,2025-01-31T07:04:33.581000Z,2025-01-31T07:04:33.492174Z,1063.0,C1DSW210,719,28,Male,Asian,United States,United States,United States,English,No,Part-Time
679c72d823048d6ed5532ae2,679334a846e22adcedd4cfd0,APPROVED,Not Applicable,2025-01-31T06:51:15.599000Z,2025-01-31T08:13:57.427000Z,2025-01-31T08:13:59.331000Z,2025-01-31T08:13:58.343944Z,4962.0,C1DSW210,23,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
679c7368870e04cb9456822b,678ebce3d9bb9ffc687d8dcd,APPROVED,Not Applicable,2025-01-31T06:53:59.065000Z,2025-01-31T07:45:42.193000Z,2025-01-31T07:45:44.991000Z,2025-01-31T07:45:43.307023Z,3104.0,C1DSW210,17,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
679c8e908ae589f117bc114e,667196e97423e7565c192fb8,APPROVED,Not Applicable,2025-01-31T08:49:35.989000Z,2025-01-31T09:33:09.320000Z,2025-01-31T09:33:21.126000Z,2025-01-31T09:33:10.515175Z,2614.0,C1DSW210,910,32,Male,Black,United States,United States,United States,English,Yes,Part-Time
679c6b5f2ee035a0269cfbe2,610777877c957a4e38c46b97,RETURNED,Not Applicable,2025-01-31T06:19:16.480000Z,,,,,,562,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
679c863d0e5abc57381dd418,671736b13de114a142238632,RETURNED,Not Applicable,2025-01-31T08:13:49.738000Z,,,,,,431,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
679c89fe4ddda23c48992978,675dd4aed41b2116f978a0a1,RETURNED,Not Applicable,2025-01-31T08:30:38.714000Z,,,,,,97,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
