confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"Remember to match the coloration of your frames with your pores and skin tone.To find out what skin tone you have, just pay Ralph Lauren Pas Cher tiny pay a visit to to a cosmetic's counter to uncover out.RL7033If I want to look glamorous, I will most certainly don a pair of butterfly formed Ralp...",68f9d9bf370e74cb512bf5afd543bbd4,male,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"Loosing weight is consequently 1 of the best items you may do for oneself in case you are obese. It appears like a daunting job, but for those who function at it something is feasible.Weight loss is more of a mental battle than it is a physical 1. Losing hope or receiving discouraged may be the p...",e5e66ec2dd1dc4b70ebfc1af51a677f7,male,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,4: Somewhat Masculine,By extracting a few of the present soil you'll be able to design a submerged flowerbed. This would permit rainfall for being accumulated and irrigate your plants concurrently totally free. Quite a few smart landscape designs range from interesting paths leading visitors concerning yard. To avoid ...,99bd25c2a77487783e0392f2b03540f4,male,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,4,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,1: Very Feminine,Step into a pair of Manolo Blahnik's shoes and you'll understand just why they are so sought after! Order a pair today and get ready to steal the show wherever the night takes you!  ,4f893def18ff1a218060a5e89a45abc,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,1,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,The couple was walking with his friends to the pub to have fun. The couple was excited to finally arrive at the pub. There was a lot of people with interesting dance moves. Time ran quickly as everyone was having fun with friends. Some people even played games.,18806,Male,PASTEL,6627e1b9434a2e718ed099c2,,I agree,3,3
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,The wedding reception started with a speech. The groom's party had ridden from the ceremony in a limo. The wedding party was all lined up. They took lots of pictures at the wedding reception. They all drank beer and had a fun time at the formal party.,29038,Non-binary,PASTEL,6627e1b9434a2e718ed099c2,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"Repossesed Asset Auctions Are generally a Great deal Searchers Prize! Confiscated home's along with merchandise offered by using federal government online auctions as well as police auctions can be a treasure regarding bargain finders. There is simply a large choice of potential items, new and us...",1579af59b6b62baccdd0a165aa6f3a39,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"A story tells that two friends were walking through the desert. During some point of the journey, they had an argument, and one friend slapped the other one in the face. The one who got slapped was hurt, but without saying anything, he wrote in the sand: Today my best friend slapped me in the fac...",f0f49a9fb19179f12e02a60c732aa2be,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,3,2
1: Not Confident. You were unsure or found the text ambiguous,,2: Somewhat Feminine,"Dogs are like four legged children. They express the same emotion as they do. They get happy, sad, and most of all they suffer from separation anxiety. However, what is separation anxiety and how can you tell if your dog is or has experienced it?  anxiety in dogs can be seen in how your dog behav...",89fa9fc6eb893f27dbac9f10873d2686,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,2,1
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,6627e1b9434a2e718ed099c2,,I agree,2,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,Life problems are likened to sequential mountains the success is not in the number you climbed and crossed but how you cross.,5c8171d522b158f3b39fdf8a56e7676c,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,1: Very Feminine,"Dad likes to show up without a shirt at the table. It is ok because its his birthday and I got him a card. Dad always looks so happy with my mom , his wife. They loved taking pictures together under the sun. I can honestly say they are both smart and the cutest couple.",14847,Male,PASTEL,6627e1b9434a2e718ed099c2,,I agree,1,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,5: Very Masculine,"Labor Day is celebrated in the whole world with a difference in date. In the United States, it’s celebrated in September at the end of week days. Though Labor Day has its roots in the blood of working class, and it was first time observed during 1878, yet it became a federal holiday in 1894. Toda...",5251e1af89354cb693f0503751420f5a,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,5,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"Every occasion turns colorful and joyous once your gifts reach your relations in Mumbai, and is privileged to do that for you. Astonish your loved ones check out for exciting and happening gifts.",f8d6c9f9b159351805a2f2912425e740,female,PAN13-EN,6627e1b9434a2e718ed099c2,,I agree,2,2
