p_id,round,mean_style_score
683f8dfd46ee96edd290371c,9,3.3
673696f7eb242cad3b6230ef,9,3.45
682ccced13479526ebcb4360,9,2.775
67d9376e7e1045d6057326bd,9,3.4
68499336b2a3912ef86bf3ee,10,2.95
683b2e27e104483882e25c00,10,3.15
683761c496867fc42f6f571b,10,2.675
67d38e686bef986a7bf9e769,10,2.75
682fa2f5aa8edd41cd06722a,11,3.225
682a234ab14c7bd80b9b5d47,11,2.9
5753046ba6deb50006d64b0f,11,3.25
67df17f6673d3c0754f7fb33,11,3.05
66eddcfe67e927db6f0a4768,12,3.3
6650b582a7a14d7179997819,12,2.375
5e8caf1b063693041f6ac524,12,2.95
6844b3c2054528c906e04f16,12,3.675
67ad3b723dcec072cfdf7815,13,2.575
663e3cee91031227e894384a,13,2.925
6840b151c4d7e9898535450f,13,3.325
6848b86c31ff951705fe0721,13,2.625
