confidence,comments,style,texts,p_id,feedback,consent
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3,The crowed cheered as the fireworks began. There was a massive eruption. Several smaller bursts followed. The smoke clears as more eruptions continued. Eventually the fireworks wained.,614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,Scary,2,"We walked down a scary path. We saw urns stored near a funeral. Inside the columbarium, it was dark. We waited around, hoping for a ghost. We didn't see a ghost, but we did see a startling statue.",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3,"I was hanging out with friends at the bar. We took a lot of pictures. It a time filled with fun. There was a lot of food to eat. I think, we should have such meet up weekly.",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Last sentence too enthusiastic ,2,"Last night, we were trying to decide what to have for dinner, so we looked at some menus. My best friend got distracted and suggested we go to a pet show she'd heard about. My other friend got her back on track, and we talked more about restaurants and menus. I remembered one restaurant we used to go to go to that closed down and we miss. It seemed like we had read a million menus for hours and hours!",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,Factual ,3,"I went and took pictures of people, places, and things. I tried this neck shot. I also took a picture of a butterfly. My favorite picture is one of a lizard. The last picture was one in a bowling alley.",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
1: Not Confident. You were unsure or found the text ambiguous,So many exclamation points ,3,"Wow, a carnival and a rodeo! There's nothing like watching a cowpony enjoy a run. This horse has his eye on the target If the cowboy does his toss right, neither he nor the calf gets hurt. Thrills and spills at the rodeo! IT IS A COLOURFUL LIGHTS",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3,"The cow is ready to go on a adventure. First he climbed onto this statue. Next, he felt rebellious and broke the rules of the no trespassing sign. The adrenaline from the mischievous behavior led him to the cattle barn. After which he finally ended his journey at the State Fair grounds.",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
1: Not Confident. You were unsure or found the text ambiguous,Words like goofy ,3,"We had a night of fun. We gathered at an apartment and had some drinks. Some guy was thinking it'd be funny to put his head in a vice. A friend offered a sip of some ails. It was a good time, and we got goofy that night.",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
1: Not Confident. You were unsure or found the text ambiguous,Seemed neutral but is just the facts ,4,"I took my son to the parade in July. We honored the veterans as they rode through parade. As the fireworks detonated, the floats drove past the dealership. We clapped as the trombones passed with all the musicians. The local school put on a performance. Every year, the snow fall begins around the same time.",614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
4: Very Confident. You were very certain about your judgment with no hesitation,,2,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',614eb0a92921d8c1e64f4873,No feedback. Thank you. ,I agree
