confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Our school held its anual giant book fair. The children love to color and draw. There were many books to choose from. The children were drawing a nice picture. After the book fair ended, there were a bunch of kids still drawing.",14240,Female,PASTEL,67576aa762688ac76aa780d9,,I agree,3,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,Our special outing definitely required alot of snacks. We had alot of time to kill before the start. I ran into a co worker who was sitting near by . Some people thought their jeans were super trending I guess. so glad I was able to spend this day with friends and my sister .,8230,Male,PASTEL,67576aa762688ac76aa780d9,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,This years vacation sights were amazing. We started by visiting the cathedral. We had lots of fun during the trip. I even bought a candy bar that wasn't for girls. I was so tired I could take naps for days!,36956,Male,PASTEL,67576aa762688ac76aa780d9,,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,"I went to a party for a few of my friends' crew (a sport where a team of rowers race boats) team yesterday, and like at most parties I attend where the host is not either myself or one of my friends, about half the people were cool and fun and let me and my friend Boney (whom I invited to tag alo...",3495919,male,BLOG,67576aa762688ac76aa780d9,,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"Are you looking for independent video borescope inspections of aircraft engines and Auxiliary Power Units. RVI ltd offers you engine inspection , aircraft inspections, turbine inspection with knowledge and experience of 100 years in the aviation industry. RVI Ltd can be said as one of the industr...",feddbbb90cde23cf9d71cc0a9ef903f5,female,PAN13-EN,67576aa762688ac76aa780d9,,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"We went for a hike on the beach today. The terrain was rugged and rocky on this day. We stopped to view the scenery and take pictures along the way. The cool geologic formations are what we enjoyed the most. When we reached our view, we paused to admire the ocean.",31896,Male,PASTEL,67576aa762688ac76aa780d9,,I agree,4,3
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,The people honored the memorial. They looked at the many graves of fallen soldiers Here they honored the flag. The group admired the ashes of a high ranking solider They ended the day with the Packers At the cemetery there were some people observing a soldiers lives. So many soldiers lost their lives to save ours. Some soldiers were preparing for the funeral of another soldier. There was a soldiers remains at this funeral. The soldiers house had a bird house of his favorite team in remembrance of him.,16455,Male,PASTEL,67576aa762688ac76aa780d9,,I agree,5,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine," I do not harvest a deer every season. In fact, in the 12 years that I have deer hunted seriously, every season, and with great effort, I have taken a total of four deer. I consider myself a 'trophy hunter'. By that, I mean that each year I hunt for a buck that is 'better' than the last one I too...",4105191,male,BLOG,67576aa762688ac76aa780d9,,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"It's important to light the candles before we eat. Afterwards, we say a little prayer to express our thanks for this lovely gathering. The food was definitely worth the trip. And the dancing was definitely the highlight of our evening. At the end of the day we got the band together and played a few tunes before saying goodbye.",25256,Female,PASTEL,67576aa762688ac76aa780d9,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,67576aa762688ac76aa780d9,,I agree,2,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"As of this moment, AUD has stronger rates compared to USD. From .80 AUD last year to .90 AUD this year,the currency isn't falling but rather the USD is creating a return back.   Even though this can be happening, AUD is certainly additional superior than USD at now in time. This solely means that...",39600d4852b1e5cd00252ada5686cebd,female,PAN13-EN,67576aa762688ac76aa780d9,,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,There's nothing we love more than to have a friend get together. We just listen to everything we have to share while we all sit on the couches We like to get comfortable as we are all the best of friends. Some of s try to listen more by pulling our ear open a little more. It is nice to have them all in the same room to share all our favorite moments of life.,34570,Male,PASTEL,67576aa762688ac76aa780d9,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This Christmas was my baby's Benji first. Noni gave him lots of kisses. Everyone gathered together to open gifts. Beji got a stuffed animal for christmas. Benji got the perfect piggy bank and we named it rainy.,11191,Male,PASTEL,67576aa762688ac76aa780d9,,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,"When the Prophet Muhammad, blessings and peace be upon his noble soul, conquered Mecca, not a single drop of blood was shed. Almost every prisoner was forgiven in the end, and each and every one of them, enlightened by the peace and mercy radiating from the faith, reverted to Islam. The very peop...",3761833,male,BLOG,67576aa762688ac76aa780d9,,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"hey ya'all. how are you doing? i am fine today. well i just wanted to tell everyone i talk to at least that i am leaving to go to wyoming. i might of told some of you and some of you might of already knew, but it was great telling you, cuz i hope my cousins think it's kinda cool that i'm coming u...",3983558,female,BLOG,67576aa762688ac76aa780d9,,I agree,2,3
