confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The text is very matter-of-fact but uses light descriptive language, so I've placed this one in the center. It reads as neutral to me.",3: Neutral,"Our school held its anual giant book fair. The children love to color and draw. There were many books to choose from. The children were drawing a nice picture. After the book fair ended, there were a bunch of kids still drawing.",14240,Female,PASTEL,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,"Compared to the last example, this one is more descriptive and uses words like 'super' to emphasize adjectives, something that I would associate more with feminine speech.",2: Somewhat Feminine,Our special outing definitely required alot of snacks. We had alot of time to kill before the start. I ran into a co worker who was sitting near by . Some people thought their jeans were super trending I guess. so glad I was able to spend this day with friends and my sister .,8230,Male,PASTEL,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,"While this text isn't very descriptive, there is a lot of emotion included in these sentences. The context also suggests that the writer is female, but I tried to disregard that to focus on the writing style itself.",2: Somewhat Feminine,This years vacation sights were amazing. We started by visiting the cathedral. We had lots of fun during the trip. I even bought a candy bar that wasn't for girls. I was so tired I could take naps for days!,36956,Male,PASTEL,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,2,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,It's difficult for me to assign a gender to this text. It's very long-winded but doesn't ,3: Neutral,"I went to a party for a few of my friends' crew (a sport where a team of rowers race boats) team yesterday, and like at most parties I attend where the host is not either myself or one of my friends, about half the people were cool and fun and let me and my friend Boney (whom I invited to tag alo...",3495919,male,BLOG,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,3,2
4: Very Confident. You were very certain about your judgment with no hesitation,"This is a very technical, professional-sounding piece of text and reads more like an advertisement than anything else, so I attribute that to masculine speech.",5: Very Masculine,"Are you looking for independent video borescope inspections of aircraft engines and Auxiliary Power Units. RVI ltd offers you engine inspection , aircraft inspections, turbine inspection with knowledge and experience of 100 years in the aviation industry. RVI Ltd can be said as one of the industr...",feddbbb90cde23cf9d71cc0a9ef903f5,female,PAN13-EN,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"This is mostly a direct telling of events during the hike, but because there's no strong emotion used here and the description",3: Neutral,"We went for a hike on the beach today. The terrain was rugged and rocky on this day. We stopped to view the scenery and take pictures along the way. The cool geologic formations are what we enjoyed the most. When we reached our view, we paused to admire the ocean.",31896,Male,PASTEL,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"This is another matter-of-fact retelling of events, but because of the repetition and lack of emotion, I have an easier time associating this text with masculinity.",4: Somewhat Masculine,The people honored the memorial. They looked at the many graves of fallen soldiers Here they honored the flag. The group admired the ashes of a high ranking solider They ended the day with the Packers At the cemetery there were some people observing a soldiers lives. So many soldiers lost their lives to save ours. Some soldiers were preparing for the funeral of another soldier. There was a soldiers remains at this funeral. The soldiers house had a bird house of his favorite team in remembrance of him.,16455,Male,PASTEL,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"This is another technical-feeling piece of text, devoid of emotion and sticking straight to the topic - deer hunting.",4: Somewhat Masculine," I do not harvest a deer every season. In fact, in the 12 years that I have deer hunted seriously, every season, and with great effort, I have taken a total of four deer. I consider myself a 'trophy hunter'. By that, I mean that each year I hunt for a buck that is 'better' than the last one I too...",4105191,male,BLOG,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"The frequency of descriptive words makes me feel inclined to place this under feminine speech, but I don't think it's particularly strong.",2: Somewhat Feminine,"It's important to light the candles before we eat. Afterwards, we say a little prayer to express our thanks for this lovely gathering. The food was definitely worth the trip. And the dancing was definitely the highlight of our evening. At the end of the day we got the band together and played a few tunes before saying goodbye.",25256,Female,PASTEL,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,5d847ac9be4b0b00188463d7,I hope that I did a decent job at this. Thank you for the opportunity.,I agree,2,4
