confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"... I don't know when I'll be back again...' Ok, yeah, actually I do. I'll be back late Monday night, but let's not spoil my good mood. I'm in a New York state of mind today and so not motivated to write much here. If you're looking for something to read, go check out  CHUD.com's awesome review o...",3925061,female,BLOG,jone,,I agree,2,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"I thought if I list out everything that's buzzing around my head it might help! Then again, there's so much I doubt I'll ever manage it.... 'If learning involves the use of ICT, it's e-learning' (Dfes UK) Can the desired learning outcomes drive the technology? Or will the 'imposed' technology dri...",3712430,male,BLOG,jone,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,So YEAH!!! We were able to purchase the big kit for my hostess...so she can get started being a Passion Parties Consultant and doing what I am in about a week. She already has parties lined up. I'm so excited for her. The party went really well and was tons of fun. :-) I stuck the Glow Boy to the...,4208244,female,BLOG,jone,,I agree,1,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"PE confuses the s*&%$ out of me, one weekend its rocking and one its like a one-horse town, I've tried to figure out a pattern of when the fun happens but nope I've failed miserably. its funny cause I'm born and bred here",6691a7d4760f14982c9b46a08f44c5f9,female,PAN13-EN,jone,,I agree,3,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"Last week I wandered around the city and got lost. I couldn't remember the street I parked on. I walked for an hour then I stopped for a break. I finally remembered I parked in the parking garage. When I finally found my car, it was rush hour.",22870,Female,PASTEL,jone,,I agree,4,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"Helmet speaker is a sort of monster cable, monsters beats, monster cable that is mainly specially designed for riders, as alternative to earbud speakers. It is more liberty although working with the wi-fi headphone, with the growth of technological innovation, wireless technologies acquiring matu...",8619ceda0553debdbd03c4128b4572ce,male,PAN13-EN,jone,,I agree,4,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,If you want to succeed in the world must make your own opportunities as you go on. The man who waits for some seventh wave to toss him on dry land will find that the seventh wave is a long time a coming. You can commit no greater folly than to sit by the roadside until some one comes along and in...,5d1b1c9f5e4c45ceb34b1846eaf1bcbb,female,PAN13-EN,jone,,I agree,3,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,Our van has taken us all over. On one trip we went to the coast. There were ships in the water! And the water was so clear that we could see the bottom. Our parking spot was the best.,5186,Male,PASTEL,jone,,I agree,2,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"Well, we had a first this morning... Maitlyn totally enjoyed swim lessons! She didn't complain one bit, did everything she was asked and even had fun! One of the things she always complained about was the kickboard. Today, as she was kicking across the pool with the kickboard, she said to me 'I l...",3435786,male,BLOG,jone,,I agree,3,2
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,jone,,I agree,2,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"The truth is that playing with the wrong golf will adversely influence your game . You will surely sacrifice constancy and precision if you do not select the right golf balls for your specific game . So , in what way would you figure out which golf ball is ideal for your strength and ability ? We...",fa6d4c398d1589d5466e70e1b7509a7a,female,PAN13-EN,jone,,I agree,3,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"I just love being a recovering addict on blogspot. Ever notice how it is really Blogs-pot? Maybe that's me being me, a drug addict who sees the word pot in like everything I ever see. I smoked pot for over thirty some years like almost every day and it finally got in the way. In the way of my cra...",3500638,male,BLOG,jone,,I agree,3,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,There were lots of food. We were ready to eat. We unwrapped the candy. The photo was an advertisement. The street was dark.,14491,Male,PASTEL,jone,,I agree,3,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"One curious and true thought about using IM business tools or approaches is success will depend on the skill with which any person brings to the table.You can rattle off any number of strategies used, Credit Card Debt Settlement - that is a randomly chosen tool many people like. It is always a sm...",90969d54582724ab99dc86b8c46a0139,male,PAN13-EN,jone,,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"I wrote some poetry while I was away for the last week, I decided it was worth putting here. I'm not saying I'm the best poet in the world... As usual, it's all pessimistic but then again that's the way I am oh, and I don't like naming poetry, too hard... why shall I love but never be loved? why ...",3807999,female,BLOG,jone,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,I left for the weekends to support my uncle We had many signs about love and many other levels We talked about touching moments and treatment between individuals We had many loving signs that would remind people about violence we were talking about relationships and marriage,1131,Female,PASTEL,jone,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"It's strange how one can wake up in a morning feeling that the day is going to be great, only to find that as each minute ticks, things slowly seem to get worse. Today is one of those days. Worse than just the average Monday feeling, I haven't felt any good until just now when I started to think ...",3953885,male,BLOG,jone,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,"Welcome! Make yourself at home... it's my first post. Lol, I'm a blog virgin... well not really ). Anyway, I plan to post my goings-on in here (is that gramatical?) for the summer, and maybe even beyond that. Just to update what's been going on in my life: The job hunt continues, though not as vi...",3672974,male,BLOG,jone,,I agree,3,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',2,,,jone,,I agree,3,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,  Toys “R” Us Putting QR Codes to Use for Christmas!  The Future Of Business To Business Marketing: Content Marketing  10 Realistic Rewards of Social Media  How Well Do You Listen and Engage With Your Customers?  Salesforce’s Do.com Aims to Torpedo Microsoft’s Collaboration Stronghold  X-ray Augm...,59fd3e7abfc87cfafa1cb588414f78a0,female,PAN13-EN,jone,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"apple itunes uninstall is most beneficial undertaken by possibly working with the ""Add / Eliminate Programs"" applet within your pc, or by utilizing a piece of application that is capable to get rid of it completely. We've located that this application is exceptionally engrained inside Windows, an...",3f25b222d9ced5b0f758ebdeb1334efc,female,PAN13-EN,jone,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"I got stung by a hornet today. I cried. If I can't handle that kind of pain, how on Earth would I be able to do it?I ache for freedom yet I refuse to do it, I am not brave. I have the means to do it, but do I have the guts? No, I don't. That may be a good thing, it may not, but what can I do? mc,...",3901881,female,BLOG,jone,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"At least as far as customer service goes. I recently ran into problems w/ both online companies. A song I downloaded from Napster would not play correctly, as in, not at all! As you have to be a premium member in order to receive phone support, I filed my report online. After a few days of not he...",4204349,male,BLOG,jone,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,1: Very Feminine,"eBay is extremely uncomplicated to use and you can simply search your favourite designers or something as wide as ""dresses"" to assist you track down the goods that you are seeking for. You will locate a broad assortment of low cost garments on eBay ranging from things that are brand name new with...",1e463533b451d587ddc2a466090179f5,male,PAN13-EN,jone,,I agree,1,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,What kind of life do u like to live. Do u belive our days on dis earth is nt much? And lastly who do u belive in GOD or satan,5114c364f95c6539f5c52c4e4a3ea4cc,female,PAN13-EN,jone,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,The parade was full of a lot of people holding on to these floats. Some displayed their silly hats. In the parade the people held on tight to their sticks. The parade also put on a nice show for the spectators. This was definitely a hat goofy event.,10092,Male,PASTEL,jone,,I agree,3,1
1: Not Confident. You were unsure or found the text ambiguous,,5: Very Masculine,This is an attention check. Please select 'Very Masculine (5)' and '1: Not Confident. You were unsure or found the text ambiguous',3,,,jone,,I agree,5,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,"If you are looking for   Vuitton Damier, where you can find exquisite handbags, wallet nd so much more? Here are really the most chic, stylish and excellent quality handbags available in the market today. As it is known all over the world, nearly every woman who carries a brand handbag like LV, H...",fcfed6ffa020a9c6783a7b232b8028cc,male,PAN13-EN,jone,,I agree,1,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"Have you ever thoroughly planned out your objectives and goals for your web business? That's right if you're not setting the right goals for your online business, it's highly unlikely that you're going to see any big results coming your way. Some goals are more powerful than others, and you can u...",1e15aa4e325b756036346dff2731d72,female,PAN13-EN,jone,,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,We went on a majestic university visit. The walls were lined with wood and the smell was great. What a delighted day to have been ale to make it to graduation day . The photographers were really hiding my family. It was finally time to pose for more photos.,17519,Male,PASTEL,jone,,I agree,2,2
