confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"Evocative clear language. Slight hedging in ""eventually"" with multiple sentences to get to the point.",3: Neutral,The crowed cheered as the fireworks began. There was a massive eruption. Several smaller bursts followed. The smoke clears as more eruptions continued. Eventually the fireworks wained.,15793,male,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,Subjective tone with personal detail added. No hedging though many adjectives.,2: Somewhat Feminine,"We walked down a scary path. We saw urns stored near a funeral. Inside the columbarium, it was dark. We waited around, hoping for a ghost. We didn't see a ghost, but we did see a startling statue.",16634,male,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,2,2
4: Very Confident. You were very certain about your judgment with no hesitation,Short sentences on the key details of the event. ,4: Somewhat Masculine,"I was hanging out with friends at the bar. We took a lot of pictures. It a time filled with fun. There was a lot of food to eat. I think, we should have such meet up weekly.",16875,male,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,4,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,Lots of individual detail with reminiscing though the tone is super present focused instead of emotional.,2: Somewhat Feminine,"Last night, we were trying to decide what to have for dinner, so we looked at some menus. My best friend got distracted and suggested we go to a pet show she'd heard about. My other friend got her back on track, and we talked more about restaurants and menus. I remembered one restaurant we used to go to go to that closed down and we miss. It seemed like we had read a million menus for hours and hours!",10321,female,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Action is the focus here.,5: Very Masculine,"I went and took pictures of people, places, and things. I tried this neck shot. I also took a picture of a butterfly. My favorite picture is one of a lizard. The last picture was one in a bowling alley.",111230,female,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,5,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,Many emotional details though comments only on the events.,2: Somewhat Feminine,"Wow, a carnival and a rodeo! There's nothing like watching a cowpony enjoy a run. This horse has his eye on the target If the cowboy does his toss right, neither he nor the calf gets hurt. Thrills and spills at the rodeo! IT IS A COLOURFUL LIGHTS",34096,male,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Matter of fact tone on subjective whimsical topic.,3: Neutral,"The cow is ready to go on a adventure. First he climbed onto this statue. Next, he felt rebellious and broke the rules of the no trespassing sign. The adrenaline from the mischievous behavior led him to the cattle barn. After which he finally ended his journey at the State Fair grounds.",35366,male,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,Some scant details on the personal experience only in the past tense.,4: Somewhat Masculine,"We had a night of fun. We gathered at an apartment and had some drinks. Some guy was thinking it'd be funny to put his head in a vice. A friend offered a sip of some ails. It was a good time, and we got goofy that night.",38815,male,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,4,2
4: Very Confident. You were very certain about your judgment with no hesitation,Many subjective details with personal experiences.,1: Very Feminine,"I took my son to the parade in July. We honored the veterans as they rode through parade. As the fireworks detonated, the floats drove past the dealership. We clapped as the trombones passed with all the musicians. The local school put on a performance. Every year, the snow fall begins around the same time.",12908,female,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,55a9f6a1fdf99b2d81b5295f,,I agree,2,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Many different details though largely in the past tense. ,2: Somewhat Feminine,"When in the woods, I saw such gigantic spider webs I needed to keep walking! There was this giant spider that was so nasty and plump, and it was sitting on a leaf. Although I was scared, I was still curious as to how a web that big was made from that type of small spider. After examining the web, I walked out of the woods, and started walking towards my route home, where I was waiting for the subway. On the way into the station, I saw this unique art show display, which was a very cool pyramid-like creation.",2299,female,PASTEL,55a9f6a1fdf99b2d81b5295f,,I agree,2,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,The idea of relating to other people on structured theoretical grounds. The past tense. Lots of action words.,5: Very Masculine,"I dedicate my life to supporting other people as they create their ideal lives and accomplish their objectives. Clearly I practice what I teach, therefore each new perspective I add to my information base rewards us all. Hence I set myself the job of discovering what the Bible can provide to individuals who genuinely want to locate a life-journey that is content, wealthy and fulfilling.",154d14665eed2898811501cdd0871165,female,PAN13-EN,55a9f6a1fdf99b2d81b5295f,,I agree,5,2
4: Very Confident. You were very certain about your judgment with no hesitation,The abbreviation as well as the focus on the authoritative source. However the topic is subjective interpretation.,4: Somewhat Masculine,"These things have I written unto u that believe on the name of the Son of God; THAT YOU MAY KNOW THAT YOU HAVE ;ETERNAL LIFE (GOD KIND OF LIFE), and ;that you may believe on the name of ;the Son of God (1John 5:13). ;If u are born again, u now have eternal life (the same life that God has). Your life is different from the life people who;are not born again have. U are a heavenly man/woman.",155ea7d9a0596fd818706315581a6664,female,PAN13-EN,55a9f6a1fdf99b2d81b5295f,,I agree,4,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,The focus on ideals as well as processes.,4: Somewhat Masculine,"Each parent aims to bring up a child that's loving, providing, self-confident, happy, and a part of a carefully knit household. Parenting is a organic approach and much more often than not it is not guides, counselors, or medical doctors that may manual you however it is your in born intuition and bonds with the kid.",1569546eebd99fe13c053ef20765602e,female,PAN13-EN,55a9f6a1fdf99b2d81b5295f,,I agree,4,3
4: Very Confident. You were very certain about your judgment with no hesitation,Extremely feminine topics written in intentionally feminine style.,1: Very Feminine,"Blog writing is a very good way of expression of our inner feelings. it redresses our mental activities.So, find it very useful exercise, especially when there is no work and boring ... ;But, the problem arises when we start writing...what to write, how to write, how to start..what should be the title..The matter etc, etc,?????? ;There is a vast field of topics viz..love, friends, family , Sex, sexy, beautiful so on and so...",158fb28aad6b42fe173d057ba47acefb,female,PAN13-EN,55a9f6a1fdf99b2d81b5295f,,I agree,1,4
