confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,Sleep Aids Reviewed- In-depth Evaluations Air Max of Sleeping Tablets / Rest Aid dietary supplementsSearching for the right sleep help to overcome your insomnia? You've arrive towards the proper spot. Showcased here are in-depth evaluations of countless sleep help medicines and sleep dieta...,45ab7c70b407d09e2976b8bc2259f903,female,PAN13-EN,67297f70d21c6b7122a7b4d8,,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"When in the woods, I saw such gigantic spider webs I needed to keep walking! There was this giant spider that was so nasty and plump, and it was sitting on a leaf. Although I was scared, I was still curious as to how a web that big was made from that type of small spider. After examining the web, I walked out of the woods, and started walking towards my route home, where I was waiting for the subway. On the way into the station, I saw this unique art show display, which was a very cool pyramid-like creation.",2299_2,Female,PASTEL,67297f70d21c6b7122a7b4d8,,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,our national soccer team lost the semi finals in the european championship. although this has nothing to do with my study. this is some crazy thing with the country i live in. nobody believed they could get this far. because this wasn't the best team we ever had and the practice games really went...,3792469,1,BLOG,67297f70d21c6b7122a7b4d8,,I agree,4,3
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,Earning a residual money is powerful and a great digital recruiter can do that by doing work with corporations placing contractors (those who are ready to get the job done on a brief-expression basis for an hourly amount as a substitute of a wage).A organization is nothing at all with out its sta...,1023c3a657f870432e8142b3bf704e,male,PAN13-EN,67297f70d21c6b7122a7b4d8,,I agree,5,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,"The safety and security of lives and property is the greatest concern of every individual or group. The dangers of theft, burglary, violent crime and break-in have resulted into several kinds of security systems and safety solutions that promise ultimate safekeeping and security. One such great u...",1779b7b442aa02f6b1be79bbe224dfd,female,PAN13-EN,67297f70d21c6b7122a7b4d8,,I agree,5,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,They loved the architecture of churches. They loved the art of stained glass windows. Standing in front were three members of a secret organization of assassin nuns disguised as tourists. They loved to view the sacred and stayed there all day. From the sacred they visited the killing floors of butchers were dead pigs hung for sale.,11486_1,Male,PASTEL,67297f70d21c6b7122a7b4d8,,I agree,3,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"If most mothers had the choice they might jump on the possiblity to emerge as a member of the work at home mums team. They can make money at home and at typically the same time they will all the same look after household responsibilities. Without a doubt, the best of 2 worlds.Although it does sou...",6fc39d643fc2597b23d0f1b6e0b2afb5,male,PAN13-EN,67297f70d21c6b7122a7b4d8,,I agree,4,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"Where to begin?! The beginning would be good but I feel that jumping around keeps you on your toes more...jazz's things up a bit! You are going to go on a strange trip, so grab a cocktail, sit back and buckle up...you are in for a long strange ride...YE-HAAAA! First of all I must confess that I a...",3741966,1,BLOG,67297f70d21c6b7122a7b4d8,,I agree,4,2
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"My dad is taking pictures of his beer. He moves his glass around to get good lighting. He blinked in one, and we had to take better ones. He needed the perfect shot. Next time, he wants to take pictures of red wine.",37616_3,Female,PASTEL,67297f70d21c6b7122a7b4d8,,I agree,4,2
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,67297f70d21c6b7122a7b4d8,,I agree,2,4
