confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,"  window treatment tips are necessary to modify the appear and design of one's kitchen or to create a preferred effect. On the contrary, the massive selection of window treatments makes this process a bit as well hard to get completed. You'd be torn among quite beautiful window treatments but fin...",42a00e77c2513bb4163ffd75196b125a,female,PAN13-EN,682fa2f5aa8edd41cd06722a,none,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,No signs of either masculinity or feminism.,3: Neutral,"Accumulating textbooks is definitely an ever more common enthusiasm for a few individuals. Should you like publications and need to make some income from residence or maybe start a new pastime, then accumulating antique books value might be a normal stage for you personally. It will not make a di...",da168659933b28c4608a7a0a911cdca2,female,PAN13-EN,682fa2f5aa8edd41cd06722a,none,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,Learning how to play guitar. Learning how to play the drums. These drums sure are fun. Get away from me dad I can do this by myself. If she doesn't get off the drums soon I'm going push her off because it's my turn.,7345_1,Male,PASTEL,682fa2f5aa8edd41cd06722a,none,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,The green dude was in the grass. As he moved to the pavement he noticed something. He moved towards the object. He got closer to the object. He ran away scared.,38169_0,Female,PASTEL,682fa2f5aa8edd41cd06722a,none,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,Research show that the number of current skin disorders has been increasing. A specialty area of skin care combined with surgery pathology is a research considered in offering medication as well as remedy to different skin ailments. This can be called dermatopology. It's a research which generall...,24dfb92020c142da2eb7b6b14bbbe7cb,female,PAN13-EN,682fa2f5aa8edd41cd06722a,none,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,"Where love is there is faith... Love is the salt of life.. We cannot learn mean from books... There is no fire without some smoke.. He that makes his bed.. A broken friendship may be solder'd, but will never be sound. A friend in need is a friend indeed. Better alone that in bad company!!! The wi...",2723b464f5bf2ac7b987061ba0a5c443,male,PAN13-EN,682fa2f5aa8edd41cd06722a,none,I agree,4,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"Are you aware that camels do not have only a thick row of eyelashes but also two layers of eyelids in order to protect their eyes from the desert sand? Even though this seems unnecessary in the beginning, human lashes actually serve a very similar function for keeping out dust and other particula...",de524d8c74c1827053add3378549059c,female,PAN13-EN,682fa2f5aa8edd41cd06722a,none,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,in the world of sabina there are many dolls This is very influenced by the most favorites dolls the friends and the families are reflected in the dolls my favorite set of dolls is a sports team made with replicas,3500_0,Male,PASTEL,682fa2f5aa8edd41cd06722a,none,I agree,2,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"Possibilities are, all you'll want to do is commit a small time acquiring your present landscape in order.Cleanse up The Main FeaturesBefore you add everything to your yard, make confident the fundamental landscaping attributes search as good as possible. Get your lawn, shrubs and trees in very g...",71a70eea3d0497a04de1f9744b2f99e2,male,PAN13-EN,682fa2f5aa8edd41cd06722a,none,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,682fa2f5aa8edd41cd06722a,none,I agree,2,4
