confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,"Doesn't seem to be particularly masculine or feminine. Doesn't lean towards emotional nor does it seem overly factual or direct. It's vague, mostly. ",3: Neutral,"Slowly and gradually, all facets of their lives can be accomplished by way of the Net. Meeting possible dates and dating can now be accomplished in the virtual globe.Nowadays online dating internet sites have enjoyed a large next since its inceptions a number of decades back. Folks are quick view...",5febe40a7f4bf6f477af654d3eea9ab3,male,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,3,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,Emotional and sentimental. ,2: Somewhat Feminine,"What a wonderful day we had. We ventured to Six Flags over Georgia. It wasn't quite as I remember it when I was 20 years old...then again that was 16 years ago. I can remember when I went as a kid, it was huge and exciting and I wanted to do everything and there was never enough time. Now that I'...",4168492,1,BLOG,673696f7eb242cad3b6230ef,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,This text will discuss the key variations between the two that will help you resolve which may be better for you. Perceive that my opinion is based on my private experience and the analysis that I've conducted.Liquid Diets (And Why One Of These Technically Is not One): I imagine that individuals ...,28c118646abaf08b33535fad28820db0,male,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,5,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2: Somewhat Feminine,It was a day of sightseeing for us!. We saw several different exhibits. This was cool because the ferris wheel was in the background. I loved watching the children on the merry-go-round. We even saw characters interacting!,2036_3,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,2,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"it behoves on us all to make a drastic and prompt actions to make change a reality, in this part of the world called 'Nigeria' chauvinism is killing us",8b794cc8b9857b8704d9dc4eb5d0863f,female,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,3,1
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"In the beginning, what great way to start a book! I could go back to the time where there was total void but maybe it would be better to start at, let there be light... For me the light didn't come on until I was in my thirty's, mid thirty's. I packed a few clothes and photo albums and the kids a...",4213593,1,BLOG,673696f7eb242cad3b6230ef,,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,4: Somewhat Masculine,It was time to start family vacation. We started out with lunch on the ocean. Then we looked out at the water. We tried some of the culture's delicacies at the hotel. We ended the day with a beautiful sunset.,4813_0,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,5: Very Masculine,"A number of things seize the focus today. Anything that will add convenience to your everyday living is obviously encouraged. Though any pen and paper is a big help to document dictations, many of us encouraged recorders since it makes the job less complicated. The typewriter had been carrying ou...",513bb87c52164b23fd22014659e67b69,male,PAN13-EN,673696f7eb242cad3b6230ef,,I agree,5,3
4: Very Confident. You were very certain about your judgment with no hesitation,Completely factual with no emotional reference whatsoever,4: Somewhat Masculine,The group went to a costume party together. The costume party had a 70s theme. The costume party selected the winner of the costume party. The costume party was also a charity party. The costume charity presented a check to help children.,5115_1,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,4
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,673696f7eb242cad3b6230ef,,I agree,2,4
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,"Despite the word count, very blunt and to the point. No extra details are given",4: Somewhat Masculine,"Every year, the snow fall begins around the same time. The winter always gives the graveyard an eerie glow. In order to keep yourself a bit warmer, you can sit at the table away from the snow. But it's also nice to walk at night with a loved one for a romantic evening. Just as long as you return home before morning when you can sleep off the cold.",13221_0,Female,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,2
1: Not Confident. You were unsure or found the text ambiguous,,3: Neutral,"I have become obsessed with this tattoo. I have always said that I would get a tattoo when I was 25 but have never really found one that I liked so much as I like this one. I've shown it to a few friends who all think it is pretty cool, so I think I am going to take the plunge (...",4047512,0,BLOG,673696f7eb242cad3b6230ef,,I agree,3,1
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,4: Somewhat Masculine,We tried the new family fun sport of ridingball. We tried water ridingball at the marina. The kids liked the crazy excitement of dueling ridingballs. Their ridingball popped but it was quick and easy to repair. When we returned to land we played a game of pop the ridingball in a dry grassy field.,23941_2,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,4,2
4: Very Confident. You were very certain about your judgment with no hesitation,"Hardly any emotional reflection at all, very factual and direct ",5: Very Masculine,Time to prepare this lavish dinner. This was the first serving of the night. This is how the desert was prepard. Thie main course was kind of small. I needed antacids after that weird meal.,13681_3,Male,PASTEL,673696f7eb242cad3b6230ef,,I agree,5,4
