Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6848a5402b0ceecc9b36244e,68325a01e0770b3870ea26b3,APPROVED,Not Applicable,2025-06-10T21:37:33.391000Z,2025-06-10T22:00:18.894000Z,2025-06-10T22:00:34.799000Z,2025-06-10T22:00:33.200061Z,1366.0,C1DSW210,91,Man (including Trans Male/Trans Man),38,Male,Black,United States,United States,United States,English,No,Part-Time
6848a545c739641b382b0457,6837bc69cb2ce8b62f46d405,RETURNED,Not Applicable,2025-06-10T21:37:42.122000Z,,,2025-06-11T20:23:58.667113Z,,,204,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6848ab1a0da6c6e0efbea415,682a234ab14c7bd80b9b5d47,APPROVED,Not Applicable,2025-06-10T22:01:07.331000Z,2025-06-10T22:28:20.378000Z,2025-06-10T22:28:22.958000Z,2025-06-10T22:28:21.032777Z,1634.0,C1DSW210,395,Non-binary (would like to give more detail),32,Male,White,United States,United States,United States,English,No,Full-Time
6848afdaaf52ba9ab8e8be28,5753046ba6deb50006d64b0f,APPROVED,Not Applicable,2025-06-10T22:23:47.109000Z,2025-06-10T22:43:46.468000Z,2025-06-11T20:23:49.494000Z,2025-06-10T22:43:47.121818Z,1200.0,NOCODE,2082,Man (including Trans Male/Trans Man),58,Male,White,United States,United States,United States,English,No,Part-Time
6848b18b06080c08cbdff230,683ca599021675cdcae2a561,APPROVED,Not Applicable,2025-06-10T22:29:01.316000Z,2025-06-10T22:56:31.386000Z,2025-06-10T22:56:34.089000Z,2025-06-10T22:56:32.045583Z,1651.0,C1DSW210,78,Woman (including Trans Female/Trans Woman),32,Female,Black,United States,United States,United States,English,No,Part-Time
6848b53d7e936df20c128366,68406af7706e13b75e68962e,APPROVED,Not Applicable,2025-06-10T22:47:12.261000Z,2025-06-10T23:25:56.380000Z,2025-06-10T23:25:57.152000Z,2025-06-10T23:25:57.029883Z,2325.0,C1DSW210,20,Man (including Trans Male/Trans Man),41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6848b84566f911c792ea89c6,67df17f6673d3c0754f7fb33,APPROVED,Not Applicable,2025-06-10T22:57:15.633000Z,2025-06-11T00:07:48.133000Z,2025-06-11T00:07:50.792000Z,2025-06-11T00:07:48.791574Z,4233.0,C1DSW210,667,Man (including Trans Male/Trans Man),28,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6848bf3b1f243718a012f664,682e2a3e8a44f3f4e2aac127,APPROVED,Not Applicable,2025-06-10T23:30:45.238000Z,2025-06-11T00:28:53.855000Z,2025-06-11T00:28:57.485000Z,2025-06-11T00:28:54.548697Z,3489.0,C1DSW210,48,Rather not say,25,Female,Black,United States,United States,United States,English,No,Part-Time
6848c8f801e630df2213744a,6733e5e2a104a80184bf6358,APPROVED,Not Applicable,2025-06-11T00:08:28.797000Z,2025-06-11T00:53:08.036000Z,2025-06-11T00:53:08.775000Z,2025-06-11T00:53:08.673427Z,2680.0,C1DSW210,330,Rather not say,40,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6848cdcfdde0cf2b89b9e3c4,6643bcf4ed868a9901a9dd7d,RETURNED,Not Applicable,2025-06-11T00:29:03.388000Z,,,2025-06-11T20:23:58.669677Z,,,1975,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6848ce66d6864c7960dc657d,682fa2f5aa8edd41cd06722a,APPROVED,Not Applicable,2025-06-11T00:31:40.854000Z,2025-06-11T00:55:22.667000Z,2025-06-11T00:55:23.340000Z,2025-06-11T00:55:23.254777Z,1422.0,C1DSW210,182,Woman (including Trans Female/Trans Woman),37,Male,White,United States,United States,United States,English,No,Part-Time
6848d769420006ce5598e001,655fd05c12d38751dfa91559,APPROVED,Not Applicable,2025-06-11T01:10:01.784000Z,2025-06-11T01:40:37.324000Z,2025-06-11T01:40:38.238000Z,2025-06-11T01:40:38.147537Z,1836.0,C1DSW210,2124,Non-binary (would like to give more detail),30,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
