Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
684a5ddc1c560b0682fa9bde,67d38e686bef986a7bf9e769,APPROVED,Not Applicable,2025-06-12T04:56:32.046000Z,2025-06-12T05:49:02.967000Z,2025-06-12T05:49:06.465000Z,2025-06-12T05:49:03.661583Z,3151.0,C1DSW210,665,Woman (including Trans Female/Trans Woman),31,Female,Black,United States,United States,United States,English,No,Part-Time
684a5e5066da911bc92b1d0f,5f46cd85e858dd0a24269315,APPROVED,Not Applicable,2025-06-12T04:57:52.446000Z,2025-06-12T05:25:11.079000Z,2025-06-12T05:25:11.836000Z,2025-06-12T05:25:11.733024Z,1639.0,C1DSW210,3672,Rather not say,67,Female,Black,United States,United States,United States,English,No,Part-Time
684a621e1c560b0682fa9cb3,683b2e27e104483882e25c00,APPROVED,Not Applicable,2025-06-12T05:14:16.053000Z,2025-06-12T06:12:49.629000Z,2025-06-12T06:12:52.232000Z,2025-06-12T06:12:50.379869Z,3514.0,C1DSW210,116,Man (including Trans Male/Trans Man),33,Female,White,United States,United States,United States,English,No,Part-Time
684a64b949802cbdd00188e0,67871b7310fcb596ca70075d,APPROVED,Not Applicable,2025-06-12T05:25:13.786000Z,2025-06-12T06:17:34.954000Z,2025-06-12T06:17:37.052000Z,2025-06-12T06:17:35.463372Z,3142.0,C1DSW210,616,Man (including Trans Male/Trans Man),50,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
684a6a53744d857b6596ada5,5ed9c3054268815691ed0e2c,RETURNED,Not Applicable,2025-06-12T06:00:00.030000Z,,,2025-06-12T21:58:25.221650Z,,,2326,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
684a6cf60f51a86f798aa432,65d58a52bf45343f7055b0e3,APPROVED,Not Applicable,2025-06-12T06:05:49.871000Z,2025-06-12T07:31:27.027000Z,2025-06-12T07:31:27.922000Z,2025-06-12T07:31:27.797656Z,5138.0,C1DSW210,748,Non-binary (would like to give more detail),30,Female,Black,United States,United States,United States,English,No,Full-Time
684a6ff2e33beb81e53cf80d,68391987b91e4612e8e57f8b,RETURNED,Not Applicable,2025-06-12T06:13:48.533000Z,,,2025-06-12T21:58:25.222903Z,,,189,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
684a7146f345f4a4cfe589f1,6844ec5c3f032b8836dc5afb,APPROVED,Not Applicable,2025-06-12T06:18:55.306000Z,2025-06-12T06:39:35.525000Z,2025-06-12T06:39:36.271000Z,2025-06-12T06:39:36.181289Z,1241.0,C1DSW210,27,Woman (including Trans Female/Trans Woman),33,Male,White,United States,United States,United States,English,No,Full-Time
684a782687f2ed26736cf749,67297f70d21c6b7122a7b4d8,APPROVED,Not Applicable,2025-06-12T06:48:36.147000Z,2025-06-12T07:13:44.669000Z,2025-06-12T07:13:45.385000Z,2025-06-12T07:13:45.282008Z,1509.0,C1DSW210,53,Non-binary (would like to give more detail),33,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
684a79e2744d857b6596b190,6849087820c5cb721d340814,AWAITING REVIEW,Not Applicable,2025-06-12T06:56:27.741000Z,2025-06-12T07:35:10.715000Z,,2025-06-12T07:35:11.376172Z,2323.0,NOCODE,16,Man (including Trans Male/Trans Man),31,Male,White,United States,United States,United States,English,Yes,Full-Time
