Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
684d7158b4a6b09e790ab21f,6844b3c2054528c906e04f16,APPROVED,Not Applicable,2025-06-14T12:55:52.700000Z,2025-06-14T13:31:03.209000Z,2025-06-14T13:31:04.371000Z,2025-06-14T13:31:03.916391Z,2111,C1DSW210,48,Woman (including Trans Female/Trans Woman),36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
684d719cc012d49f0e7da55b,67e7b44b708fcee3c458d4cf,APPROVED,Not Applicable,2025-06-14T13:02:03.471000Z,2025-06-14T13:59:44.401000Z,2025-06-14T13:59:45.124000Z,2025-06-14T13:59:45.029517Z,3461,C1DSW210,1054,Man (including Trans Male/Trans Man),38,Male,White,United States,United States,United States,English,No,Part-Time
684d71b9856126b7268c2b47,6548f960db60a00d76e92695,APPROVED,Not Applicable,2025-06-14T12:57:33.767000Z,2025-06-14T13:28:31.788000Z,2025-06-14T13:28:32.500000Z,2025-06-14T13:28:32.397577Z,1859,C1DSW210,4679,Man (including Trans Male/Trans Man),53,Male,White,United States,United States,United States,English,No,Full-Time
684d79507aeb5a6013586d71,6843d1689d61b53eeae097b1,APPROVED,Not Applicable,2025-06-14T13:30:12.119000Z,2025-06-14T14:15:43.019000Z,2025-06-14T14:15:45.688000Z,2025-06-14T14:15:43.610112Z,2731,C1DSW210,17,Man (including Trans Male/Trans Man),45,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
684d79ec50f5bd5e20a4495c,67799d763d5bf5489ac2b034,APPROVED,Not Applicable,2025-06-14T13:35:11.763000Z,2025-06-14T14:35:32.817000Z,2025-06-14T14:35:33.630000Z,2025-06-14T14:35:33.532495Z,3622,C1DSW210,862,Woman (including Trans Female/Trans Woman),26,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
684d80de8b4506f4d475f842,5d2df867d7cc160019673031,APPROVED,Not Applicable,2025-06-14T14:02:58.104000Z,2025-06-14T14:16:40.472000Z,2025-06-14T14:58:11.815000Z,2025-06-14T14:16:41.143925Z,823,C1DSW210,3008,Man (including Trans Male/Trans Man),35,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
684d846a0cd326be5783ead2,684a3771c56bb750e8fe13d8,APPROVED,Not Applicable,2025-06-14T14:17:32.198000Z,2025-06-14T15:35:28.835000Z,2025-06-14T15:35:31.718000Z,2025-06-14T15:35:29.531813Z,4677,C1DSW210,3,Rather not say,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
684d85c6a4e2d4da455a3ba9,66eddcfe67e927db6f0a4768,APPROVED,Not Applicable,2025-06-14T14:23:15.257000Z,2025-06-14T14:58:50.593000Z,2025-06-14T14:58:54.377000Z,2025-06-14T14:58:51.231973Z,2136,C1DSW210,2032,Non-binary (would like to give more detail),37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
684d8e885621cf8960d5ec5d,6650b582a7a14d7179997819,APPROVED,Not Applicable,2025-06-14T15:00:31.285000Z,2025-06-14T15:19:20.649000Z,2025-06-14T15:19:23.734000Z,2025-06-14T15:19:21.312511Z,1130,C1DSW210,1780,Rather not say,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
684d97311a679273e5e9797b,5e8caf1b063693041f6ac524,APPROVED,Not Applicable,2025-06-14T15:37:26.906000Z,2025-06-14T16:16:02.848000Z,2025-06-14T16:16:05.246000Z,2025-06-14T16:16:03.891468Z,2316,C1DSW210,4913,Non-binary (would like to give more detail),42,Male,White,United States,United States,United States,English,No,Part-Time
