Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
684da2dcc32f04eb17cabbb6,6841eaf1a77941aa86041c54,APPROVED,Not Applicable,2025-06-14T16:28:48.534000Z,2025-06-14T16:59:07.095000Z,2025-06-14T16:59:08.563000Z,2025-06-14T16:59:07.697022Z,1819.0,C1DSW210,38,Man (including Trans Male/Trans Man),52,Male,White,United States,United States,United States,English,No,Full-Time
684da314e330e39686a364d5,67042439a81ac83981a36a73,APPROVED,Not Applicable,2025-06-14T16:28:13.168000Z,2025-06-14T17:00:40.770000Z,2025-06-14T17:00:41.597000Z,2025-06-14T17:00:41.460706Z,1948.0,C1DSW210,236,Man (including Trans Male/Trans Man),31,Male,Black,United States,United States,United States,English,No,Part-Time
684daabafb27d2e0c6d2f4fc,683f4c4a95e6ac73e9eff935,APPROVED,Not Applicable,2025-06-14T17:00:56.355000Z,2025-06-14T17:59:41.224000Z,2025-06-14T18:53:05.978000Z,2025-06-14T17:59:41.910675Z,3525.0,C1DSW210.,59,Woman (including Trans Female/Trans Woman),43,Male,White,United States,United States,United States,English,No,Part-Time
684dabe9115c827791fd28d8,6848b86c31ff951705fe0721,APPROVED,Not Applicable,2025-06-14T17:07:14.479000Z,2025-06-14T17:44:09.996000Z,2025-06-14T17:44:10.658000Z,2025-06-14T17:44:10.557563Z,2216.0,C1DSW210,50,Woman (including Trans Female/Trans Woman),45,Female,White,United States,United States,United States,English,No,Part-Time
684db4f6cde16536c1249d82,614ebfa6eff131515482a146,APPROVED,Not Applicable,2025-06-14T17:44:26.538000Z,2025-06-14T18:06:10.660000Z,2025-06-14T18:06:11.431000Z,2025-06-14T18:06:11.307027Z,1305.0,C1DSW210,2472,Man (including Trans Male/Trans Man),33,Female,White,United States,United States,United States,English,No,Part-Time
684dba2076bd0a9557726269,683b76dbdec83b1c5a663d27,APPROVED,Not Applicable,2025-06-14T18:06:38.566000Z,2025-06-14T19:04:04.866000Z,2025-06-14T19:04:05.579000Z,2025-06-14T19:04:05.481361Z,3447.0,C1DSW210,153,Rather not say,41,Male,White,United States,United States,United States,English,No,Part-Time
684dba35fd3891db84a81a79,6840b151c4d7e9898535450f,APPROVED,Not Applicable,2025-06-14T18:07:30.884000Z,2025-06-14T18:46:39.693000Z,2025-06-14T18:46:40.547000Z,2025-06-14T18:46:40.460975Z,2349.0,C1DSW210,154,Man (including Trans Male/Trans Man),27,Female,Black,United States,United States,United States,English,Yes,Full-Time
684dba37ca740772940fd610,67ad3b723dcec072cfdf7815,APPROVED,Not Applicable,2025-06-14T18:07:05.915000Z,2025-06-14T18:36:05.611000Z,2025-06-14T22:25:25.856000Z,2025-06-14T18:36:06.243591Z,1740.0,NOCODE,147,Rather not say,33,Female,White,United States,United States,United States,English,No,Part-Time
684dc235e681e475f92e5b35,663e3cee91031227e894384a,APPROVED,Not Applicable,2025-06-14T18:40:56.863000Z,2025-06-14T18:56:28.762000Z,2025-06-14T18:56:30.551000Z,2025-06-14T18:56:29.474129Z,932.0,C1DSW210,613,Non-binary (would like to give more detail),26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
684ddfe6aa1909891d48e5b0,5c43517c8fefb60001c447fe,APPROVED,Not Applicable,2025-06-14T20:47:37.690000Z,2025-06-14T20:57:33.927000Z,2025-06-14T22:24:59.623000Z,2025-06-14T20:57:34.883402Z,597.0,C1DSW210,4125,Non-binary (would like to give more detail),41,Male,White,United States,United States,United States,English,No,Full-Time
684da321499ea4bff2f1713f,682e527c3f17640d0a03ea99,RETURNED,Not Applicable,2025-06-14T16:29:14.904000Z,,,,,,407,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
684daa8932e21f140f8c344b,67d5fc98fa2c899f4db05461,RETURNED,Not Applicable,2025-06-14T17:00:01.661000Z,,,,,,402,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
684dab4e0a0d491157bce787,5f07b62e0e3ac43ea9d490c6,RETURNED,Not Applicable,2025-06-14T17:03:26.224000Z,,,,,,2307,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
684db89ba25a009650421dbb,5e47b99163d3cc2705dc6c2e,RETURNED,Not Applicable,2025-06-14T18:02:59.772000Z,,,,,,856,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
