confidence,comments,style,texts,text_id,label,data,p_id,feedback,consent,style_score,confidence_score
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,"There is a focus on emotions, but not too much.",2: Somewhat Feminine,"Hey this is my first post so i hope i don't disapoint you, whoever you are found out about this site from a friend(  ) and thought the concept of a way to post your ideas and thoughts for free was alright so here i am typin'. well i guess i'll talk about today. well sleeped in till 11am. got up a...",3690904,0,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,Very emotional and spiritual.,1: Very Feminine,"Hey all! I am feeling refreshed today! I went to  church today and I feel like a ton of wieght has just FALLEN off of me. It was time to shake them demons off . . . it was time to reflect on my life, the purpose of my life and I needed to search and find out what god has created me for! Yes I sai...",3658006,1,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,Very emotional and artistic,1: Very Feminine,"And I feel, so much depends on the weather So is it raining in your bedroom? And I see, that these are the eyes of disarray Would you even care? Stone Temple Pilots I’ve been listening to Core for the past few weeks, on and off. The critics dismissed STP’s first album as a mediocre Nirvana knocko...",4162841,0,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,Welcome to the first day of class. Each class will be keeping a 'BLOG' as a way of accessing and rembering content that we cover in class. Each day one of you will be posting a summary of what we did in class. Writing this summary will earn you five bonus points to be added to your grade. Anyone ...,4301799,1,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,finished my first homemade ride today! Need for Speed: Underground... u can really taste the garden-grown goodness. i hope the southern public has a need for speed - 'cuz i got a need for their money! i'm actually impressed by the $50 video editing software i bought for the gig - it gives the ill...,4109640,0,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"In honor of this bag's main color, I'm gonna post in bright green. Here's a story... A few months ago, there was a lil kitty who got a book called 'Stitch N Bitch: The Knitter's Handbook'. For the next two weeks, she kept flipping through, reading it like a novel. Sometimes, she even held off goi...",3985734,1,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,people of my blogg i will not be using blogger anymore i will be using xanga so... i'll see ya'll on my comments bye oh yeah! my xanga address is hey it's me again ... here is what i'm doing to today.... To start off i went to church and sat with becca after church i went to golden corral with th...,3956655,1,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,I am still not smokingI am happy to say that I have not smoked one cigarrette. It has been super hard and I have been a little short with people lately. I do not care what anyone says. It is not in your head. I recieved a comment that fights with my sister would be funny. So since we recently had...,3358494,1,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,1,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,It was day one of the outdoor classroom. The instructors were showing the kids what to look for. They had the chance to hold new creatures and learn about them. Along with the chance to try to catch butterflies. A very exciting day was had by them all.,23551_0,Female,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,3,3
4: Very Confident. You were very certain about your judgment with no hesitation,,2: Somewhat Feminine,This is an attention check. Please select 'Somewhat Feminine (2)' and '4: Very Confident. You were very certain about your judgment with no hesitation',1,,,5c43517c8fefb60001c447fe,Gracias,I agree,2,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Every Autumn, the family gathers at the lake. They always bring the last fruit picked from home. The family loves to visit the lake to go fishing. The house has a porch to sit in peach near the water. The best vacation is to watch the water.",19424_2,Male,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,1: Very Feminine,We gathered at the convention center The guys were excited for the event We heard an interesting discussion The featured speaker sent a positive message They proudly received their certiifcates,17143_2,Male,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,1,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,It really snowe last night. I hope my ducks aren't cold. My sheep are just chillin. My tractor wont start today. I need to get more propane soon.,19480_2,Male,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,5,4
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"The most common pet turtles are aquatic turtles, which incorporate the Red-Eared Slider. Aquatic turtles are much more energetic than terrestrial turtles and so they are inclined to eat much more meat. Aquatic turtles will also carry on to try to eat meat as they age, while terrestrial turtles tr...",e5a6d8168390e5f8159e1a46a0c24222,male,PAN13-EN,5c43517c8fefb60001c447fe,Gracias,I agree,3,4
4: Very Confident. You were very certain about your judgment with no hesitation,,5: Very Masculine,"After the long wait, the site and domain is up and running. About damn time....This site will soon be transferring over to my new domain at  PocketKangaroos.com . The site name originates from the poker hand of being dealt two kings right at the start.What a crummy stretch the Cubs are on of late...",3722582,0,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,5,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,"Formerly, people usually hold stereotyped perspective towards reproduction watches. For them, these fake watches are add up to something substandard. Really, it isn't completely precise. That would depend on which sort of high quality ultimately you'll choose. designer bags Individuals of high qu...",f4e3f40e377964df134e0c7d406e6c1,female,PAN13-EN,5c43517c8fefb60001c447fe,Gracias,I agree,3,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,4: Somewhat Masculine,"This is one thing to keep in mind when it arrives to picking out the amount of protection that the beneficiary gets on your passing. The more coverage you have, the far more the top quality is heading to be general each and every and every single month that you have the method.Devoid of living in...",a6491163663d01551d7cf8adc7fba343,male,PAN13-EN,5c43517c8fefb60001c447fe,Gracias,I agree,4,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,3: Neutral,How To Advance Search Engine Optimization SEO By way of Social MediaSearch Engine Optimisation (Seo) is definitely critical for having your web page ranked hugely in big research engine results' pages. But it's not generally as uncomplicated as acquiring an eye-catching webpage full of hyperlinks...,653c298a881861ccf5188ab63fa37ee2,male,PAN13-EN,5c43517c8fefb60001c447fe,Gracias,I agree,3,3
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,3: Neutral,This is an attention check. Please select 'Neutral (3)' and '2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts',2,,,5c43517c8fefb60001c447fe,Gracias,I agree,3,2
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"14:55 I dare not make that phone call. It shouldn't matter, and we all agreed it wouldnt, so why have i put it off so long? 20:00 Plucked up the energy. Rang singer - no answer.11:35 Found out the info. on tele, hour after hour watching, for a glimpse, and then what, what would i do, or have achi...",4096193,0,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,2,3
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,1: Very Feminine,The napkins were set the platter was arranged bautifully the walls properly decorated the entertainment had arrived lets get ready to pary,13826_2,Male,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,1,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"Of course, the crowd is gathering for a meeting in a special location. It was time for the speaker to appear as a guest. He arrived at this important venue and spoke to the people He gave a speech during the session and the people sat down to hear him. After his speech, he posed for photographs with the attendees.",38553_0,Female,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,3,4
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2: Somewhat Feminine,"Sometimes I have a crazy notion that runs through my head. It's actually more like a recurring question that puzzles me at odd times and places but usually when I see some otherwise taken for granted ingenious invention. For example, it happened this past Sunday as I sat in an Emergency Room wait...",4012951,0,BLOG,5c43517c8fefb60001c447fe,Gracias,I agree,2,3
4: Very Confident. You were very certain about your judgment with no hesitation,,3: Neutral,"He entered the office building and went to the directory to find the office he needed to visit. He headed upstairs and found the sign for Loyalty, Fidelity, Broccoli. He went inside and saw a group of chairs, one being upside down. He looked out the window and down to the street and saw a tow truck. The windows were small.",23361_1,Male,PASTEL,5c43517c8fefb60001c447fe,Gracias,I agree,3,4
