confidence,comments,style,completed,texts,p_id,english,consent
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"I'll start off by saying I'm a vegetarian and I also try to limit the eggs and dairy I eat, I try to buy no leather and no other animal byproducts. When there are leftovers from dinners with guests, etc. I'll eat that (throwing meat away is definitely worse than eating it). I try to do as much as I can for the environment and animals, I have very little money so I do not donate to animal rights organizations but I certainly would if I could.",dfaf,Mother tongue,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"My argument: if all vehicles have their gas caps on the same side of the vehicle, gas stations can increase the rate at which customers are served at the pumps. Additionally, stations can impose forward-only driving (i.e. no reverse gear) to see massive improvements in some cases.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"Alright, so, i was challenged by a friend of mine to post this here for discussion, and while i am open to ideas to modify it or drop it entirely, i will only do so if you can actually change my mind. I will not give up easily. I believe I can change this country, better yet, this world for the better. The whole idea behind what I am about to say relates back to evolution.",dfaf,Mother tongue,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"Everytime the topic of Gun Control comes up, be it on the internet, on the news or in person, it seems to me that these this point dominates the conversation. And frankly, nothing screams 'I don't know what I'm talking about' more than someone who keeps insisting that 'assault weapons' are the problem (or even *a* problem for that matter).",dfaf,Mother tongue,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"First off, I like pandas I think they are cute and interesting; however, I think we should let that species meet whatever natural end is coming. Many valuable resources are devoted to saving the panda because pandas are extremely well known and popular, not because they have a good chance of survival.",dfaf,Mother tongue,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"I get that it is difficult, and it is not the kind of thing your average singer can come out and do. But to me, it doesn't sound good, at all. I understand it'd hard to do, but what is the appeal of it? It's just some guy using his throat into a mic. Why is is popular? Why is it considered great music? And please, for the ""great music"" question, please consider all viewpoints opposing that.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"In my experience, conservatives seem to deny the problem while liberals tend to become angry about it. Anger, in my opinion, actually does some good. Angry people spread awareness, hold rallies, write blog posts, etc. However, anger can also be damaging to the movement. Angry people exaggerate, and might attack or alienate would-be allies.",dfaf,Mother tongue,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"Whenever I want to know more about an idea, product, etc. I look to someone who has that idea or uses that product to learn more about it. Why, then, is it looked down on and dismissed as anecdotal evidence for someone to share an experience of theirs? I quite enjoy listening to anecdotal evidence to get new perspectives I wouldn't have thought of or haven't heard before.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"I often come across people that react to an artist listening to, and really being into their own music, as being a vain person. Like they are so in love with themselves. However, when an artist creates music, what they are doing, is just creating exactly what they want to hear. Their guide for what they decide what to do is whether or not they like it. If they don't like something, they change it, or re-work it.  So, when an artist creates music, it makes perfect sense that it would be music they would really enjoy listening to.",dfaf,Mother tongue,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2,True,This is an attention check.,dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"First of all, i do not like to believe this because i've been told over and over and over that it isn't true, but i keep seeing more and more evidence of it as the years pass (and in fact i feel a bit guilty for actually believing it, therefore this post), and second i'm speaking of average people here, i know there's asexuals and sex addicts, but those are the outliers, not the common case.",dfaf,Mother tongue,I agree
3: Moderately Confident. You felt reasonably sure of your judgment but had some doubts,,2,True,"I dedicate my life to supporting other people as they create their ideal lives and accomplish their objectives. Clearly I practice what I teach, therefore each new perspective I add to my information base rewards us all. Hence I set myself the job of discovering what the Bible can provide to individuals who genuinely want to locate a life-journey that is content, wealthy and fulfilling.",dfaf,Mother tongue,I agree
1: Not Confident. You were unsure or found the text ambiguous,,2,True,"These things have I written unto u that believe on the name of the Son of God; THAT YOU MAY KNOW THAT YOU HAVE ;ETERNAL LIFE (GOD KIND OF LIFE), and ;that you may believe on the name of ;the Son of God (1John 5:13). ;If u are born again, u now have eternal life (the same life that God has). Your life is different from the life people who;are not born again have. U are a heavenly man/woman.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"Each parent aims to bring up a child that's loving, providing, self-confident, happy, and a part of a carefully knit household. Parenting is a organic approach and much more often than not it is not guides, counselors, or medical doctors that may manual you however it is your in born intuition and bonds with the kid.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"Blog writing is a very good way of expression of our inner feelings. it redresses our mental activities.So, find it very useful exercise, especially when there is no work and boring ... ;But, the problem arises when we start writing...what to write, how to write, how to start..what should be the title..The matter etc, etc,?????? ;There is a vast field of topics viz..love, friends, family , Sex, sexy, beautiful so on and so...",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,I am a working journalist living in NYC. I joined news paper so that I can network with people and give myself more exposure with the fashion world. Please get in touch if your interested in working with me,dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"To consistently build a fortune in life, you need to in one way or additional be adding value towards life of anyone. You must be providing approaches to the problems simply being faced by most people. Without adding price or solving people's problems you can't create wealth.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,"It is those who cnt swim that are quick to tell u how u r gna drown.i cn make a better person out of myslf i dnt need ur negative input our frndshp myt aswel end here.im mvng on wt positive mindd people. iRepeat# Never have anything in your life that you cant get rid of in ten seconds flat, in the event that it threatens your current state.",dfaf,Mother tongue,I agree
2: Somewhat Confident. You made a judgment but still felt uncertain or had significant doubts,,2,True,This is an attention check.,dfaf,Mother tongue,I agree
